bam.file.name,id,image.label,accession,secondary.accession,run.accession,locality,pop,pop.short,sp.short,country.short,side.short,pop.name,latitude,longitude,province,country,genus,species,subsp,sex,pheromones,altitude,sex.code,type,alt.type,size,shape,seq.round,count,mean.depth.wg.withzeros,to.use.bedassle,to.use.pbs,pca,check.pca.of.all.era.mel,path,bam.path,old.name,beagle.indiv.names
14N004.bam,14N004,14N004_d.JPG,,,,Road to Mashpi 3 (116),pacto,pac,mel,ec,w,mel.ec.w.pac,0.19366,-78.8587,,Ecuador,Heliconius,melpomene,cythera,M,N,1016,1,EhighW,hig,NA,NA,Curran.WG.17,NA,11.54,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N004.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N004.bam,Ind0
14N009.bam,14N009,14N009_d.JPG,,,,Road to Mashpi 3 (116),pacto,pac,mel,ec,w,mel.ec.w.pac,0.19366,-78.8587,,Ecuador,Heliconius,melpomene,cythera,M,N,1016,1,EhighW,hig,NA,NA,Curran.WG.17,NA,11.12,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N009.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N009.bam,Ind1
14N014.bam,14N014,14N014_d.JPG,,,,Road to Mashpi 3 (116),pacto,pac,era,ec,w,era.ec.w.pac,0.19366,-78.8587,,Ecuador,Heliconius,erato,cyrbia,M,N,1016,1,EhighW,hig,NA,NA,Curran.WG.17,NA,8.05,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N014.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N014.bam,Ind0
14N015.bam,14N015,14N015_d.JPG,,,,Road to Mashpi 3 (116),pacto,pac,mel,ec,w,mel.ec.w.pac,0.19366,-78.8587,,Ecuador,Heliconius,melpomene,cythera,M,N,1016,1,EhighW,hig,NA,NA,Curran.WG.17,NA,12.13,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N015.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N015.bam,Ind2
14N023.bam,14N023,14N023_d.JPG,,,,Road to Mashpi 3 (116),pacto,pac,mel,ec,w,mel.ec.w.pac,0.19366,-78.8587,,Ecuador,Heliconius,melpomene,cythera,M,N,1016,1,EhighW,hig,NA,NA,Curran.WG.17,NA,11.98,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N023.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N023.bam,Ind3
14N037.bam,14N037,14N037_d.JPG,,,,Guayllabamba,guayllabamba,gua,mel,ec,w,mel.ec.w.gua,0.17533,-78.90752,Pichincha,Ecuador,Heliconius,melpomene,cythera,M,N,532,1,ElowW,low,NA,NA,Curran.WG.17,NA,11.31,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N037.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N037.bam,Ind4
14N038.bam,14N038,14N038_d.JPG,,,,Guayllabamba,guayllabamba,gua,mel,ec,w,mel.ec.w.gua,0.17533,-78.90752,Pichincha,Ecuador,Heliconius,melpomene,cythera,M,N,532,1,ElowW,low,NA,NA,Curran.WG.17,NA,12.52,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N038.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N038.bam,Ind5
14N039.bam,14N039,14N039_d.JPG,,,,Guayllabamba,guayllabamba,gua,mel,ec,w,mel.ec.w.gua,0.17533,-78.90752,Pichincha,Ecuador,Heliconius,melpomene,cythera,M,N,532,1,ElowW,low,NA,NA,Curran.WG.17,NA,12.96,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N039.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N039.bam,Ind6
14N043.bam,14N043,14N043_d.JPG,,,,Guayllabamba,guayllabamba,gua,mel,ec,w,mel.ec.w.gua,0.17533,-78.90752,Pichincha,Ecuador,Heliconius,melpomene,cythera,M,N,532,1,ElowW,low,NA,NA,Curran.WG.17,wrong species,10.44,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N043.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N043.bam,Ind7
14N044.bam,14N044,14N044_d.JPG,,,,Guayllabamba,guayllabamba,gua,mel,ec,w,mel.ec.w.gua,0.17533,-78.90752,Pichincha,Ecuador,Heliconius,melpomene,cythera,M,N,532,1,ElowW,low,NA,NA,Curran.WG.17,NA,9.6,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N044.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N044.bam,Ind8
14N045.bam,14N045,14N045_d.JPG,,,,Guayllabamba,guayllabamba,gua,mel,ec,w,mel.ec.w.gua,0.17533,-78.90752,Pichincha,Ecuador,Heliconius,melpomene,cythera,M,n,532,0,ElowW,low,NA,NA,JE.NN.novogene.18,,28.09,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N045.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N045.bam,Ind9
14N501.bam,14N501,14N501_d.JPG,ERS4212612,SAMEA6447049 ,,Guayllabamba,guayllabamba,gua,mel,ec,w,mel.ec.w.gua,0.22022,-78.88961,Pichincha,Ecuador,Heliconius,melpomene,cythera,M,N,532,NA,ElowW,low,NA,NA,BGI.round.4.19,,7.21,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N501.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N501.bam,Ind10
14N502.bam,14N502,14N502_d.JPG,ERS4212613,SAMEA6447050 ,,Guayllabamba,guayllabamba,gua,mel,ec,w,mel.ec.w.gua,0.22022,-78.88961,Pichincha,Ecuador,Heliconius,melpomene,cythera,F,N,532,NA,ElowW,low,NA,NA,BGI.round.4.19,,7.19,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N502.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N502.bam,Ind11
14N503.bam,14N503,14N503_d.JPG,ERS4212614,SAMEA6447051 ,,Guayllabamba,guayllabamba,gua,mel,ec,w,mel.ec.w.gua,0.22022,-78.88961,Pichincha,Ecuador,Heliconius,melpomene,cythera,F,N,532,NA,ElowW,low,NA,NA,BGI.round.4.19,,8.29,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/14N503.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/14N503.bam,Ind12
