"era.co.e.ama" "era.co.e.cam" "era.co.e.esc" "era.co.e.flo" "era.co.e.guz" "era.co.e.let" "era.co.e.moc" "era.ec.e.ana" "era.ec.e.jat" "era.ec.e.nar" "era.ec.e.rev" "era.ec.e.yas"
"era.co.e.ama" 0 936 203.714285714286 1014 180.083333333333 46.125 1133.5 129 306.666666666667 1083.05555555556 1211 129
"era.co.e.cam" 936 0 732.285714285714 78 755.916666666667 982.125 197.5 807 629.333333333333 147.055555555556 275 807
"era.co.e.esc" 203.714285714286 732.285714285714 0 810.285714285714 23.6309523809524 249.839285714286 929.785714285714 74.7142857142857 102.952380952381 879.34126984127 1007.28571428571 74.7142857142857
"era.co.e.flo" 1014 78 810.285714285714 0 833.916666666667 1060.125 119.5 885 707.333333333333 69.0555555555557 197 885
"era.co.e.guz" 180.083333333333 755.916666666667 23.6309523809524 833.916666666667 0 226.208333333333 953.416666666667 51.0833333333333 126.583333333333 902.972222222222 1030.91666666667 51.0833333333333
"era.co.e.let" 46.125 982.125 249.839285714286 1060.125 226.208333333333 0 1179.625 175.125 352.791666666667 1129.18055555556 1257.125 175.125
"era.co.e.moc" 1133.5 197.5 929.785714285714 119.5 953.416666666667 1179.625 0 1004.5 826.833333333333 50.4444444444443 77.5 1004.5
"era.ec.e.ana" 129 807 74.7142857142857 885 51.0833333333333 175.125 1004.5 0 177.666666666667 954.055555555556 1082 0
"era.ec.e.jat" 306.666666666667 629.333333333333 102.952380952381 707.333333333333 126.583333333333 352.791666666667 826.833333333333 177.666666666667 0 776.388888888889 904.333333333333 177.666666666667
"era.ec.e.nar" 1083.05555555556 147.055555555556 879.34126984127 69.0555555555557 902.972222222222 1129.18055555556 50.4444444444443 954.055555555556 776.388888888889 0 127.944444444444 954.055555555556
"era.ec.e.rev" 1211 275 1007.28571428571 197 1030.91666666667 1257.125 77.5 1082 904.333333333333 127.944444444444 0 1082
"era.ec.e.yas" 129 807 74.7142857142857 885 51.0833333333333 175.125 1004.5 0 177.666666666667 954.055555555556 1082 0
