"mel.co.w.ama" "mel.co.w.bar" "mel.co.w.bra" "mel.co.w.cau" "mel.co.w.lad" "mel.co.w.pot" "mel.co.w.que" "mel.ec.w.all" "mel.ec.w.gua" "mel.ec.w.min" "mel.ec.w.pac" "mel.ec.w.tor"
"mel.co.w.ama" 0 213.6 1265.6 277.6 34.4 38.8615384615385 1431.6 231.6 463.6 1149.6 1014.1 423.781818181818
"mel.co.w.bar" 213.6 0 1052 64 248 252.461538461538 1218 18 250 936 800.5 210.181818181818
"mel.co.w.bra" 1265.6 1052 0 988 1300 1304.46153846154 166 1034 802 116 251.5 841.818181818182
"mel.co.w.cau" 277.6 64 988 0 312 316.461538461538 1154 46 186 872 736.5 146.181818181818
"mel.co.w.lad" 34.4 248 1300 312 0 4.46153846153846 1466 266 498 1184 1048.5 458.181818181818
"mel.co.w.pot" 38.8615384615385 252.461538461538 1304.46153846154 316.461538461538 4.46153846153846 0 1470.46153846154 270.461538461538 502.461538461538 1188.46153846154 1052.96153846154 462.643356643357
"mel.co.w.que" 1431.6 1218 166 1154 1466 1470.46153846154 0 1200 968 282 417.5 1007.81818181818
"mel.ec.w.all" 231.6 18 1034 46 266 270.461538461538 1200 0 232 918 782.5 192.181818181818
"mel.ec.w.gua" 463.6 250 802 186 498 502.461538461538 968 232 0 686 550.5 39.8181818181818
"mel.ec.w.min" 1149.6 936 116 872 1184 1188.46153846154 282 918 686 0 135.5 725.818181818182
"mel.ec.w.pac" 1014.1 800.5 251.5 736.5 1048.5 1052.96153846154 417.5 782.5 550.5 135.5 0 590.318181818182
"mel.ec.w.tor" 423.781818181818 210.181818181818 841.818181818182 146.181818181818 458.181818181818 462.643356643357 1007.81818181818 192.181818181818 39.8181818181818 725.818181818182 590.318181818182 0
