"era.co.e.ama" "era.co.e.cam" "era.co.e.esc" "era.co.e.flo" "era.co.e.guz" "era.co.e.let" "era.co.e.moc" "era.ec.e.ana" "era.ec.e.jat" "era.ec.e.nar" "era.ec.e.rev" "era.ec.e.yas"
"era.co.e.ama" 0 897.224612685125 860.147738686224 855.02489262011 855.259172934356 59.4595336684607 890.712929185175 763.826824867626 862.490417254829 891.321054998631 900.881205100505 756.097675850138
"era.co.e.cam" 897.224612685125 0 47.8023572527448 129.442013077219 42.1006050311943 956.38394109465 15.2330442200283 193.781371354536 275.186588344329 243.912252524471 167.176243305334 212.369427007002
"era.co.e.esc" 860.147738686224 47.8023572527448 0 149.288434357715 26.6149670085133 919.076362137874 34.7720462028246 146.109767658113 238.060550176692 211.262877033499 139.615025043948 164.794341119806
"era.co.e.flo" 855.02489262011 129.442013077219 149.288434357715 0 122.774688905811 914.447409945902 139.96368349655 265.601947411216 384.512222613788 360.176311393341 288.550114967744 284.20834749674
"era.co.e.guz" 855.259172934356 42.1006050311943 26.6149670085133 122.774688905811 0 950.2678603131 39.9680348498 162.507135541733 281.098851211663 254.533434595799 170.074897536114 180.865114915777
"era.co.e.let" 59.4595336684607 956.38394109465 919.076362137874 914.447409945902 950.2678603131 0 990.199988955969 880.847566081365 991.384611788728 1023.29082420194 1029.84336271082 874.253979263145
"era.co.e.moc" 890.712929185175 15.2330442200283 34.7720462028246 139.96368349655 39.9680348498 990.199988955969 0 190.474326293024 280.751339191467 254.184547143944 161.007704353557 208.820081200729
"era.ec.e.ana" 763.826824867626 193.781371354536 146.109767658113 265.601947411216 162.507135541733 880.847566081365 190.474326293024 0 163.342077578713 161.209123810657 149.083100114448 19.3686220488849
"era.ec.e.jat" 862.490417254829 275.186588344329 238.060550176692 384.512222613788 281.098851211663 991.384611788728 280.751339191467 163.342077578713 0 47.5511846817063 126.656564081679 154.344784239679
"era.ec.e.nar" 891.321054998631 243.912252524471 211.262877033499 360.176311393341 254.533434595799 1023.29082420194 254.184547143944 161.209123810657 47.5511846817063 0 99.6812851255196 152.368354379276
"era.ec.e.rev" 900.881205100505 167.176243305334 139.615025043948 288.550114967744 170.074897536114 1029.84336271082 161.007704353557 149.083100114448 126.656564081679 99.6812851255196 0 155.634241467419
"era.ec.e.yas" 756.097675850138 212.369427007002 164.794341119806 284.20834749674 180.865114915777 874.253979263145 208.820081200729 19.3686220488849 154.344784239679 152.368354379276 155.634241467419 0
