"mel.co.e.ama" "mel.co.e.cam" "mel.co.e.esc" "mel.co.e.fll" "mel.co.e.flo" "mel.co.e.guz" "mel.co.e.let" "mel.ec.e.ana" "mel.ec.e.bae" "mel.ec.e.jat" "mel.ec.e.nar" "mel.ec.e.rev" "mel.ec.e.sum"
"mel.co.e.ama" 0 897.114768571558 860.080590714528 841.871791941603 855.952418240544 855.256329628847 59.394300668701 764.671375233386 909.446744176937 863.748967732849 892.606774308476 900.884086889009 876.950108322904
"mel.co.e.cam" 897.114768571558 0 47.9833204815105 121.323230959918 131.635756425588 42.0251234690323 955.827067804937 194.210827382657 192.70954442431 275.701847062984 244.069970940773 166.524802986856 233.729575913116
"mel.co.e.esc" 860.080590714528 47.9833204815105 0 136.486287042836 152.211384563323 26.5745512797393 918.459124559964 146.367796674157 165.299206274674 238.408454583061 211.299942724748 138.701095780459 198.804514055159
"mel.co.e.fll" 841.871791941603 121.323230959918 136.486287042836 0 21.5101883864311 112.78565387133 901.619867128537 268.059877978407 309.507842751549 388.098226713429 362.184679588223 281.795104378085 343.151797233963
"mel.co.e.flo" 855.952418240544 131.635756425588 152.211384563323 21.5101883864311 0 128.444891489779 921.876001147501 289.417900267285 321.083803384647 409.454823951401 383.541201257587 293.239326820439 364.508318903328
"mel.co.e.guz" 855.256329628847 42.0251234690323 26.5745512797393 112.78565387133 128.444891489779 0 948.700186527499 162.310078044104 196.772957266275 281.305112869413 255.390930120568 169.060177759672 236.358047766308
"mel.co.e.let" 59.394300668701 955.827067804937 918.459124559964 901.619867128537 921.876001147501 948.700186527499 0 880.373580727458 1050.46793383479 991.158350015483 1023.31695527672 1028.00278204228 1006.09384579188
"mel.ec.e.ana" 764.671375233386 194.210827382657 146.367796674157 268.059877978407 289.417900267285 162.310078044104 880.373580727458 0 170.213101273201 163.091153229386 160.716462879937 147.716697732293 141.67278031321
"mel.ec.e.bae" 909.446744176937 192.70954442431 165.299206274674 309.507842751549 321.083803384647 196.772957266275 1050.46793383479 170.213101273201 0 147.281283517528 120.967091967401 28.5296548021479 101.934209613141
"mel.ec.e.jat" 863.748967732849 275.701847062984 238.408454583061 388.098226713429 409.454823951401 281.305112869413 991.158350015483 163.091153229386 147.281283517528 0 48.1621378441486 127.462130449867 45.5650162919118
"mel.ec.e.nar" 892.606774308476 244.069970940773 211.299942724748 362.184679588223 383.541201257587 255.390930120568 1023.31695527672 160.716462879937 120.967091967401 48.1621378441486 0 101.14793889974 19.1166527079834
"mel.ec.e.rev" 900.884086889009 166.524802986856 138.701095780459 281.795104378085 293.239326820439 169.060177759672 1028.00278204228 147.716697732293 28.5296548021479 127.462130449867 101.14793889974 0 82.1150565454804
"mel.ec.e.sum" 876.950108322904 233.729575913116 198.804514055159 343.151797233963 364.508318903328 236.358047766308 1006.09384579188 141.67278031321 101.934209613141 45.5650162919118 19.1166527079834 82.1150565454804 0
