"mel.co.e.ama" "mel.co.e.cam" "mel.co.e.esc" "mel.co.e.fll" "mel.co.e.flo" "mel.co.e.guz" "mel.co.e.let" "mel.ec.e.ana" "mel.ec.e.bae" "mel.ec.e.jat" "mel.ec.e.nar" "mel.ec.e.rev" "mel.ec.e.sum"
"mel.co.e.ama" 0 855.352941176471 193 239 1052.44444444444 180 61 121 1259.4 321.64 1061.57142857143 1211 1367
"mel.co.e.cam" 855.352941176471 0 662.352941176471 616.352941176471 197.091503267974 675.352941176471 916.352941176471 734.352941176471 404.047058823529 533.712941176471 206.218487394958 355.647058823529 511.647058823529
"mel.co.e.esc" 193 662.352941176471 0 46 859.444444444444 13 254 72 1066.4 128.64 868.571428571429 1018 1174
"mel.co.e.fll" 239 616.352941176471 46 0 813.444444444444 59 300 118 1020.4 82.64 822.571428571429 972 1128
"mel.co.e.flo" 1052.44444444444 197.091503267974 859.444444444444 813.444444444444 0 872.444444444444 1113.44444444444 931.444444444444 206.955555555556 730.804444444444 9.12698412698433 158.555555555556 314.555555555556
"mel.co.e.guz" 180 675.352941176471 13 59 872.444444444444 0 241 59 1079.4 141.64 881.571428571429 1031 1187
"mel.co.e.let" 61 916.352941176471 254 300 1113.44444444444 241 0 182 1320.4 382.64 1122.57142857143 1272 1428
"mel.ec.e.ana" 121 734.352941176471 72 118 931.444444444444 59 182 0 1138.4 200.64 940.571428571429 1090 1246
"mel.ec.e.bae" 1259.4 404.047058823529 1066.4 1020.4 206.955555555556 1079.4 1320.4 1138.4 0 937.76 197.828571428571 48.4000000000001 107.6
"mel.ec.e.jat" 321.64 533.712941176471 128.64 82.64 730.804444444444 141.64 382.64 200.64 937.76 0 739.931428571429 889.36 1045.36
"mel.ec.e.nar" 1061.57142857143 206.218487394958 868.571428571429 822.571428571429 9.12698412698433 881.571428571429 1122.57142857143 940.571428571429 197.828571428571 739.931428571429 0 149.428571428571 305.428571428571
"mel.ec.e.rev" 1211 355.647058823529 1018 972 158.555555555556 1031 1272 1090 48.4000000000001 889.36 149.428571428571 0 156
"mel.ec.e.sum" 1367 511.647058823529 1174 1128 314.555555555556 1187 1428 1246 107.6 1045.36 305.428571428571 156 0
