"mel.co.w.ama" "mel.co.w.bar" "mel.co.w.bra" "mel.co.w.cau" "mel.co.w.lad" "mel.co.w.pot" "mel.co.w.que" "mel.ec.w.all" "mel.ec.w.gua" "mel.ec.w.min" "mel.ec.w.pac" "mel.ec.w.tor"
"mel.co.w.ama" 0 225.79236127274 251.221192267148 251.95535657127 190.188515104692 113.117033688864 263.915154812231 777.434540659921 703.203869336947 735.677586163329 713.409658272916 701.773555577382
"mel.co.w.bar" 225.79236127274 0 25.4288309944082 29.8045417446965 71.2596138991277 309.423554574709 41.3848125979185 577.737881451646 503.507210128673 535.980926955053 513.712999064641 502.076896369107
"mel.co.w.bra" 251.221192267148 25.4288309944082 0 23.7164811605587 89.2409222117471 334.852385569117 16.7018601323814 565.135876811882 490.90136206473 523.375078891111 501.107151000699 489.471048305165
"mel.co.w.cau" 251.95535657127 29.8045417446965 23.7164811605587 0 82.0948164825945 335.617231991783 12.0695182771327 548.788571046828 474.55605424975 507.029771076131 484.761843185719 473.125740490185
"mel.co.w.lad" 190.188515104692 71.2596138991277 89.2409222117471 82.0948164825945 0 278.769424376763 94.0546147235553 607.551992909165 533.321321586192 565.795038412573 543.527110522161 531.891007826627
"mel.co.w.pot" 113.117033688864 309.423554574709 334.852385569117 335.617231991783 278.769424376763 0 347.577030232745 861.172195153971 786.941523830997 819.415240657379 797.147312766966 785.511210071432
"mel.co.w.que" 263.915154812231 41.3848125979185 16.7018601323814 12.0695182771327 94.0546147235553 347.577030232745 0 550.559969318268 476.325454571115 508.799171397496 486.531243507084 474.89514081155
"mel.ec.w.all" 777.434540659921 577.737881451646 565.135876811882 548.788571046828 607.551992909165 861.172195153971 550.559969318268 0 76.7077482390227 73.0860436489375 85.762076085346 76.0630381778108
"mel.ec.w.gua" 703.203869336947 503.507210128673 490.90136206473 474.55605424975 533.321321586192 786.941523830997 476.325454571115 76.7077482390227 0 32.4742108533943 16.9241127648236 4.04981120231244
"mel.ec.w.min" 735.677586163329 535.980926955053 523.375078891111 507.029771076131 565.795038412573 819.415240657379 508.799171397496 73.0860436489375 32.4742108533943 0 26.8484086279816 34.8880011893303
"mel.ec.w.pac" 713.409658272916 513.712999064641 501.107151000699 484.761843185719 543.527110522161 797.147312766966 486.531243507084 85.762076085346 16.9241127648236 26.8484086279816 0 20.9387328076701
"mel.ec.w.tor" 701.773555577382 502.076896369107 489.471048305165 473.125740490185 531.891007826627 785.511210071432 474.89514081155 76.0630381778108 4.04981120231244 34.8880011893303 20.9387328076701 0
