shdr.para.east.id,piNota.minus.piLativ.min,omega.era.max,iHS_NOTABILIS.max,CLR_NOTABILIS.max,log10.LRT.pval_median.max,piNota.minus.piLativ.min.less.5th.perc.sims,piNota.minus.piLativ.min.less.10th.perc.sims,omega.era.max.more.95th.perc.sims,omega.era.max.more.90th.perc.sims,iHS_NOTABILIS.max.more.95th.perc.sims,iHS_NOTABILIS.max.more.90th.perc.sims,CLR_NOTABILIS.max.more.95th.perc.sims,CLR_NOTABILIS.max.more.90th.perc.sims,log10.LRT.pval_median.max.95th.perc.sims,log10.LRT.pval_median.max.90th.perc.sims,no.stats.outlier.min.max.10th.90th.sims,no.stats.outlier.min.max.5th.95th.sims,is.allo.hdr,overlaps.with.inversion
shdr.east.001,-0.0024371,263.812714,0.181159,6.507925,2.966310972,no,yes,no,no,no,no,no,no,no,yes,2,0,no,no
shdr.east.002,0.0001284,130.269806,0.166052,7.148213,2.199398293,no,no,no,no,no,no,no,no,no,no,0,0,no,yes
shdr.east.003,-0.0014426,331.852844,0.292683,16.64953,1.729887021,no,no,no,no,no,yes,no,no,no,no,1,0,no,yes
shdr.east.004,-0.0054532,257.079102,0.566138,16.27349,11.8585606,yes,yes,no,no,yes,yes,no,no,yes,yes,3,3,no,no
shdr.east.005,-0.00449763,700.676636,0.374429,39.62078,4.169516675,yes,yes,no,yes,no,yes,yes,yes,yes,yes,5,3,no,no
shdr.east.006,-0.004515,122.588303,0.880478,9.562185,3.317154874,yes,yes,no,no,yes,yes,no,no,no,yes,3,2,yes,no
shdr.east.007,-0.00012473,145.857437,0.160477,10.41006,1.416661959,no,no,no,no,no,no,no,no,no,no,0,0,yes,no
shdr.east.008,NA,350.100922,0.162393,3.72078,8.425547917,no,no,no,no,no,no,no,no,yes,yes,1,1,yes,no
shdr.east.009,-0.01685291,3452.231201,0.72549,89.36243,17.71308476,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,5,5,no,no
shdr.east.010,-0.01541877,714.540405,0.541667,196.0407,15.28496916,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,5,5,no,no
shdr.east.011,-0.0066937,682.346191,0.674419,15.6052,7.893825433,yes,yes,no,yes,yes,yes,no,no,yes,yes,4,3,no,no
shdr.east.012,-0.0035328,427.529205,0.0962099,3.799504,3.447974863,yes,yes,no,no,no,no,no,no,no,yes,2,1,yes,no
shdr.east.013,-0.0109775,419.8349,0.333333,40.00744,11.75837751,yes,yes,no,no,no,yes,yes,yes,yes,yes,4,3,no,no
shdr.east.014,-0.0031465,115.09549,0.147887,6.918295,3.720248899,no,yes,no,no,no,no,no,no,no,yes,2,0,no,no
shdr.east.015,-0.0039147,386.986328,0.140741,16.06953,5.146079432,yes,yes,no,no,no,no,no,no,yes,yes,2,2,yes,no
shdr.east.016,-0.00014527,241.204681,0.171053,5.678504,1.189109203,no,no,no,no,no,no,no,no,no,no,0,0,yes,no
shdr.east.017,-0.0035262,792.845093,0.61087,14.26921,3.320248944,yes,yes,yes,yes,yes,yes,no,no,no,yes,4,3,no,no
shdr.east.018,NA,209.667725,0.244444,8.469612,1.430422681,no,no,no,no,no,no,no,no,no,no,0,0,yes,yes
shdr.east.019,-0.0006677,185.301025,0.0813953,4.315351,0.986830285,no,no,no,no,no,no,no,no,no,no,0,0,no,no
shdr.east.020,4.49828E-05,131.710724,0.201754,14.44438,1.772494132,no,no,no,no,no,no,no,no,no,no,0,0,yes,no
shdr.east.021,-0.00082745,107.970734,0.191083,8.427574,1.139318408,no,no,no,no,no,no,no,no,no,no,0,0,yes,no
shdr.east.022,-0.000657,864.158264,0.257956,23.30652,2.129361478,no,no,yes,yes,no,no,no,yes,no,no,2,1,no,no
shdr.east.023,-0.0017655,186.508255,0.224444,18.7387,1.94802984,no,no,no,no,no,no,no,yes,no,no,1,0,no,no
shdr.east.024,NA,234.873581,0.153846,7.286994,1.343538971,no,no,no,no,no,no,no,no,no,no,0,0,yes,no
shdr.east.025,-0.0010754,210.936569,0.194872,6.305949,1.811139419,no,no,no,no,no,no,no,no,no,no,0,0,no,no
shdr.east.026,0.0001034,120.501228,0.161616,5.731178,2.346183073,no,no,no,no,no,no,no,no,no,no,0,0,no,no
shdr.east.027,-0.000112,148.961823,0.0647249,5.391151,0.757140108,no,no,no,no,no,no,no,no,no,no,0,0,yes,no
