"shdr.para.east.id","piPless.minus.piMalle.min","omega.mel.max","iHS_PLESSENI.max","CLR_PLESSENI.max","log10.LRT.pval_median.max","piPless.minus.piMalle.min.less.5th.perc.sims","piPless.minus.piMalle.min.less.10th.perc.sims","omega.mel.max.more.95th.perc.sims","omega.mel.max.more.90th.perc.sims","iHS_PLESSENI.max.more.95th.perc.sims","iHS_PLESSENI.max.more.90th.perc.sims","CLR_PLESSENI.max.more.95th.perc.sims","CLR_PLESSENI.max.more.90th.perc.sims","log10.LRT.pval_median.max.95th.perc.sims","log10.LRT.pval_median.max.90th.perc.sims","no.stats.outlier.min.max.10th.90th.sims","no.stats.outlier.min.max.5th.95th.sims","is.allo.hdr"
"shdr.east.001",-0.0005889,288.745636,0.103982,9.697034,1.06157466595384,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.east.002",-0.0017432,502.718048,0.290954,49.25686,0.836621524508805,"no","no","no","no","no","yes","no","no","no","no",1,0,"no"
"shdr.east.003",-0.000959600000000001,1933.955566,0.156992,28.11486,1.17101390646501,"no","no","yes","yes","no","no","no","no","no","no",1,1,"no"
"shdr.east.004",-0.002743,1266.200562,0.135135,45.7007,1.01561509570021,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.east.005",-0.0020494,724.020935,0.196078,30.26499,1.14122533321522,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.east.006",-0.0026004,500.292816,0.290598,17.74635,2.07970942444819,"no","no","no","no","no","yes","no","no","yes","yes",2,1,"no"
"shdr.east.007",-0.0010535,219.916122,0.282927,14.73774,1.15413342713566,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.east.008",-0.0016362,361.793121,0.160377,18.3451,1.72766331542985,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.east.009",-0.0010911,295.81781,0.153392,30.94224,1.26455320687168,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.east.010",-0.000476899999999999,256.484802,0.121377,27.64677,0.900345966690604,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.east.011",-0.0022825,244.033417,0.171582,24.59205,1.47746841934587,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.east.012",-0.0018141,1626.677368,0.0823117,114.5909,1.27458401285905,"no","no","no","yes","no","no","yes","yes","no","no",2,1,"no"
"shdr.east.013",-0.00420326,544.165405,0.135747,27.87724,1.43688051867948,"yes","yes","no","no","no","no","no","no","no","no",1,1,"yes"
"shdr.east.014",-0.0017727,726.713013,0.207895,32.32112,1.08256841177935,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.east.015",-0.00174184,264.276276,0.231746,9.476915,1.38554406256078,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.east.016",-0.0043922,861.286011,0.305,52.62824,1.45788395267827,"yes","yes","no","no","no","yes","no","no","no","no",2,1,"no"
"shdr.east.017",-0.0009998,426.888092,0.128501,209.9965,1.08381938001786,"no","no","no","no","no","no","yes","yes","no","no",1,1,"no"
"shdr.east.018",-0.00172074,325.567047,0.176617,14.90463,1.7101453137524,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.east.019",-0.0017265,1273.719727,0.109649,22.98683,1.19389348703864,"no","no","no","yes","no","no","no","no","no","no",1,0,"no"
"shdr.east.020",-0.00349513,2095.081299,0.114833,87.12739,2.01173294221123,"no","yes","yes","yes","no","no","no","yes","no","yes",4,1,"no"
"shdr.east.021",-0.00025447,305.331482,0.0451613,4.009267,0.642131910618156,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.east.022",-0.00236055,353.303894,0.135472,86.27338,1.05093293787907,"no","no","no","no","no","no","no","yes","no","no",1,0,"no"
"shdr.east.023",-0.00196011,2466.160645,0.172043,74.79091,1.57680313274252,"no","no","yes","yes","no","no","no","yes","no","no",2,1,"no"
"shdr.east.024",-0.02221506,3723.739258,0.627273,97.02544,5.72283688036067,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes",5,5,"no"
"shdr.east.025",-0.0021688,671.791321,0.53125,34.10832,1.08415172363522,"no","no","no","no","yes","yes","no","no","no","no",1,1,"no"
"shdr.east.026",-0.00349748,553.134766,0.584,15.74838,1.34978580766519,"no","yes","no","no","yes","yes","no","no","no","no",2,1,"no"
"shdr.east.027",-0.002467,697.893555,0.428571,69.55235,1.7107064301847,"no","no","no","no","yes","yes","no","yes","no","no",2,1,"yes"
"shdr.east.028",-0.000759699999999999,1646.806274,0.0688406,21.30776,1.46386113052627,"no","no","no","yes","no","no","no","no","no","no",1,0,"no"
"shdr.east.029",-0.001689,136.632324,0.0856354,17.021,0.720539030591013,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.east.030",-0.0013117,1201.04248,0.127937,30.69013,1.18500607558133,"no","no","no","no","no","no","no","no","no","no",0,0,"yes"
"shdr.east.031",-0.0010541,663.097595,0.150985,31.5068,1.5380897607541,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.east.032",-0.00106296,281.658081,0.152941,23.99101,1.55976233457736,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.east.033",-0.0039324,642.39917,0.293375,58.85193,1.780174371022,"no","yes","no","no","no","yes","no","no","no","yes",3,0,"no"
"shdr.east.034",-0.0028346,442.003693,0.223164,33.14416,2.7778990549884,"no","no","no","no","no","no","no","no","yes","yes",1,1,"yes"
