"column_label","ran.hdr.name","iHS_PLESSENI.max"
"1","ran1.hdr.1",0.11838
"1","ran1.hdr.10",0.083779
"1","ran1.hdr.11",0.0687679
"1","ran1.hdr.12",0.112994
"1","ran1.hdr.13",0.0541612
"1","ran1.hdr.14",0.031653
"1","ran1.hdr.15",0.0795756
"1","ran1.hdr.16",0.0642055
"1","ran1.hdr.17",0.0677749
"1","ran1.hdr.18",0.146739
"1","ran1.hdr.19",0.152047
"1","ran1.hdr.2",0.0833333
"1","ran1.hdr.20",0.10828
"1","ran1.hdr.21",0.291457
"1","ran1.hdr.22",0.108607
"1","ran1.hdr.23",0.103139
"1","ran1.hdr.24",0.207262
"1","ran1.hdr.25",0.092827
"1","ran1.hdr.26",0.219512
"1","ran1.hdr.27",0.166667
"1","ran1.hdr.28",0.184767
"1","ran1.hdr.29",0.0997963
"1","ran1.hdr.3",0.161597
"1","ran1.hdr.30",0.0966811
"1","ran1.hdr.31",0.0759494
"1","ran1.hdr.32",0.145889
"1","ran1.hdr.33",0.0835913
"1","ran1.hdr.34",0.152655
"1","ran1.hdr.35",0.358306
"1","ran1.hdr.36",0.106838
"1","ran1.hdr.37",0.0578704
"1","ran1.hdr.38",0.0718085
"1","ran1.hdr.39",0.0872211
"1","ran1.hdr.4",0.309474
"1","ran1.hdr.40",0.18956
"1","ran1.hdr.41",0.0930788
"1","ran1.hdr.42",0.0905563
"1","ran1.hdr.43",0.118644
"1","ran1.hdr.44",0.0605042
"1","ran1.hdr.45",0.163265
"1","ran1.hdr.46",0.160976
"1","ran1.hdr.47",0.130435
"1","ran1.hdr.48",0.107482
"1","ran1.hdr.49",0.116645
"1","ran1.hdr.5",0.0898058
"1","ran1.hdr.50",0.0976139
"1","ran1.hdr.51",0.192521
"1","ran1.hdr.52",0.117438
"1","ran1.hdr.53",0.173038
"1","ran1.hdr.54",0.0857633
"1","ran1.hdr.55",0.170732
"1","ran1.hdr.56",0.0757781
"1","ran1.hdr.57",0.0889371
"1","ran1.hdr.58",0.0817942
"1","ran1.hdr.6",0.108943
"1","ran1.hdr.7",0.0657439
"1","ran1.hdr.8",0.160839
"1","ran1.hdr.9",0.0636462
"2","ran2.hdr.1",0.103982
"2","ran2.hdr.10",0.0614173
"2","ran2.hdr.11",0.0461783
"2","ran2.hdr.12",0.0831826
"2","ran2.hdr.13",0.228856
"2","ran2.hdr.14",0.111429
"2","ran2.hdr.15",0.107242
"2","ran2.hdr.16",0.20195
"2","ran2.hdr.17",0.120275
"2","ran2.hdr.18",0.27907
"2","ran2.hdr.19",0.0619195
"2","ran2.hdr.2",0.0658436
"2","ran2.hdr.20",0.0978102
"2","ran2.hdr.21",0.143092
"2","ran2.hdr.22",0.0525641
"2","ran2.hdr.23",0.0577617
"2","ran2.hdr.24",0.194656
"2","ran2.hdr.25",0.172161
"2","ran2.hdr.26",0.0770578
"2","ran2.hdr.27",0.0622407
"2","ran2.hdr.28",0.110482
"2","ran2.hdr.29",0.202065
"2","ran2.hdr.3",0.179167
"2","ran2.hdr.30",0.05625
"2","ran2.hdr.31",0.176471
"2","ran2.hdr.32",0.0943396
"2","ran2.hdr.33",0.208914
"2","ran2.hdr.34",0.0560132
"2","ran2.hdr.35",0.0876672
"2","ran2.hdr.36",0.230603
"2","ran2.hdr.37",0.105413
"2","ran2.hdr.38",0.0769231
"2","ran2.hdr.39",0.0884146
"2","ran2.hdr.4",0.139303
"2","ran2.hdr.40",0.14986
"2","ran2.hdr.41",0.176796
"2","ran2.hdr.42",0.140594
"2","ran2.hdr.43",0.176718
"2","ran2.hdr.44",0.275194
"2","ran2.hdr.45",0.176166
"2","ran2.hdr.46",0.159124
"2","ran2.hdr.47",0.942761
"2","ran2.hdr.48",0.0903614
"2","ran2.hdr.49",0.0909091
"2","ran2.hdr.5",0.0905797
"2","ran2.hdr.50",0.0631068
"2","ran2.hdr.51",0.0931818
"2","ran2.hdr.52",0.0764331
"2","ran2.hdr.53",0.0780911
"2","ran2.hdr.54",0.254237
"2","ran2.hdr.55",0.117647
"2","ran2.hdr.56",0.15
"2","ran2.hdr.57",0.263514
"2","ran2.hdr.58",0.320312
"2","ran2.hdr.6",0.110619
"2","ran2.hdr.7",0.141085
"2","ran2.hdr.8",0.0921986
"2","ran2.hdr.9",0.0763723
"3","ran3.hdr.1",0.119114
"3","ran3.hdr.10",0.0430528
"3","ran3.hdr.11",0.105793
"3","ran3.hdr.12",0.130332
"3","ran3.hdr.13",0.080916
"3","ran3.hdr.14",0.31058
"3","ran3.hdr.15",0.0830861
"3","ran3.hdr.16",0.06639
"3","ran3.hdr.17",0.159091
"3","ran3.hdr.18",0.171582
"3","ran3.hdr.19",0.184502
"3","ran3.hdr.2",0.713235
"3","ran3.hdr.20",0.0831826
"3","ran3.hdr.21",0.116
"3","ran3.hdr.22",0.0892193
"3","ran3.hdr.23",0.18932
"3","ran3.hdr.24",0.264624
"3","ran3.hdr.25",0.0659341
"3","ran3.hdr.26",0.286667
"3","ran3.hdr.27",0.0707965
"3","ran3.hdr.28",0.186603
"3","ran3.hdr.29",0.0746269
"3","ran3.hdr.3",0.117773
"3","ran3.hdr.30",0.15942
"3","ran3.hdr.31",0.122727
"3","ran3.hdr.32",0.0727612
"3","ran3.hdr.33",0.234286
"3","ran3.hdr.34",0.173913
"3","ran3.hdr.35",0.122642
"3","ran3.hdr.36",0.131696
"3","ran3.hdr.37",0.106272
"3","ran3.hdr.38",0.0769231
"3","ran3.hdr.39",0.0810398
"3","ran3.hdr.4",0.0607407
"3","ran3.hdr.40",0.0762527
"3","ran3.hdr.41",0.11871
"3","ran3.hdr.42",0.0962199
"3","ran3.hdr.43",0.121795
"3","ran3.hdr.44",0.292479
"3","ran3.hdr.45",0.184615
"3","ran3.hdr.46",0.137662
"3","ran3.hdr.47",0.111853
"3","ran3.hdr.48",0.0768072
"3","ran3.hdr.49",0.117647
"3","ran3.hdr.5",0.201405
"3","ran3.hdr.50",0.0624049
"3","ran3.hdr.51",0.208251
