"column_label","ran.hdr.name","piPless.minus.piMalle.min"
"1","ran1.hdr.1",-0.0005976
"1","ran1.hdr.10",-0.0015086
"1","ran1.hdr.11",-0.0012325
"1","ran1.hdr.12",-0.0040702
"1","ran1.hdr.13",-0.000690100000000003
"1","ran1.hdr.14",-0.0001933
"1","ran1.hdr.15",-0.000682200000000001
"1","ran1.hdr.16",-0.000949600000000002
"1","ran1.hdr.17",-0.0013067
"1","ran1.hdr.18",-0.0017145
"1","ran1.hdr.19",-0.00187705
"1","ran1.hdr.2",-0.0011595
"1","ran1.hdr.20",-0.000409200000000002
"1","ran1.hdr.21",-0.0039105
"1","ran1.hdr.22",-0.0010201
"1","ran1.hdr.23",-0.001433
"1","ran1.hdr.24",-0.00128
"1","ran1.hdr.25",-0.0010269
"1","ran1.hdr.26",-0.00330596
"1","ran1.hdr.27",NA
"1","ran1.hdr.28",-0.0013947
"1","ran1.hdr.29",-0.001017
"1","ran1.hdr.3",-0.0015364
"1","ran1.hdr.30",-0.0028396
"1","ran1.hdr.31",-0.0009598
"1","ran1.hdr.32",-0.0012193
"1","ran1.hdr.33",-0.0011846
"1","ran1.hdr.34",-0.000810099999999998
"1","ran1.hdr.35",-0.00199739
"1","ran1.hdr.36",-0.0020171
"1","ran1.hdr.37",-0.000704899999999998
"1","ran1.hdr.38",-0.0025392
"1","ran1.hdr.39",-0.0026168
"1","ran1.hdr.4",-0.0024967
"1","ran1.hdr.40",-0.0013337
"1","ran1.hdr.41",-0.00215336
"1","ran1.hdr.42",-0.00089518
"1","ran1.hdr.43",-0.0021561
"1","ran1.hdr.44",-0.000323300000000002
"1","ran1.hdr.45",-0.00150164
"1","ran1.hdr.46",-0.0014553
"1","ran1.hdr.47",-0.00160925
"1","ran1.hdr.48",-0.0016438
"1","ran1.hdr.49",-0.000448300000000002
"1","ran1.hdr.5",-0.0012027
"1","ran1.hdr.50",-0.0012828
"1","ran1.hdr.51",-0.0040768
"1","ran1.hdr.52",-0.000954199999999999
"1","ran1.hdr.53",-0.0013966
"1","ran1.hdr.54",-0.0021608
"1","ran1.hdr.55",-0.00135963
"1","ran1.hdr.56",-0.000940899999999998
"1","ran1.hdr.57",-0.0012472
"1","ran1.hdr.58",-0.0002521
"1","ran1.hdr.6",-0.0019983
"1","ran1.hdr.7",-0.000855999999999999
"1","ran1.hdr.8",-0.000884899999999997
"1","ran1.hdr.9",-0.0011559
"2","ran2.hdr.1",-0.000563000000000001
"2","ran2.hdr.10",-0.0013105
"2","ran2.hdr.11",-0.00230457
"2","ran2.hdr.12",-0.00171315
"2","ran2.hdr.13",-0.00139194
"2","ran2.hdr.14",-0.00207908
"2","ran2.hdr.15",-0.0024343
"2","ran2.hdr.16",-0.0025513
"2","ran2.hdr.17",-0.002681
"2","ran2.hdr.18",-0.0024302
"2","ran2.hdr.19",-0.000791199999999999
"2","ran2.hdr.2",-0.000848100000000001
"2","ran2.hdr.20",-0.0021506
"2","ran2.hdr.21",-0.000697799999999998
"2","ran2.hdr.22",-0.0017587
"2","ran2.hdr.23",-0.0020506
"2","ran2.hdr.24",-0.00282579
"2","ran2.hdr.25",-0.00207179
"2","ran2.hdr.26",-0.000753500000000001
"2","ran2.hdr.27",-0.0027797
"2","ran2.hdr.28",-0.00269257
"2","ran2.hdr.29",-0.001689
"2","ran2.hdr.3",-0.00271394
"2","ran2.hdr.30",-0.000684400000000002
"2","ran2.hdr.31",-0.0019977
"2","ran2.hdr.32",-0.0016097
"2","ran2.hdr.33",-0.0026135
"2","ran2.hdr.34",-0.000177099999999999
"2","ran2.hdr.35",-0.0008511
"2","ran2.hdr.36",-0.0007636
"2","ran2.hdr.37",-0.000822300000000002
"2","ran2.hdr.38",-0.0006596
"2","ran2.hdr.39",-0.0010785
"2","ran2.hdr.4",-0.0015692
"2","ran2.hdr.40",-0.000862400000000001
"2","ran2.hdr.41",-0.0025314
"2","ran2.hdr.42",-0.0014358
"2","ran2.hdr.43",-0.0012965
"2","ran2.hdr.44",-0.00174256
"2","ran2.hdr.45",-0.0012561
"2","ran2.hdr.46",-0.0031219
"2","ran2.hdr.47",-0.0041695
"2","ran2.hdr.48",-0.00025201
"2","ran2.hdr.49",-0.00136799
"2","ran2.hdr.5",-0.000291699999999999
"2","ran2.hdr.50",-0.001545
"2","ran2.hdr.51",-0.000954199999999999
"2","ran2.hdr.52",-0.0010009
"2","ran2.hdr.53",-0.0013229
"2","ran2.hdr.54",-0.00215794
"2","ran2.hdr.55",-0.0017795
"2","ran2.hdr.56",-0.000751400000000001
"2","ran2.hdr.57",-0.0011227
"2","ran2.hdr.58",-0.00207283
"2","ran2.hdr.6",-0.000995899999999999
"2","ran2.hdr.7",-0.0021306
"2","ran2.hdr.8",-0.0018318
"2","ran2.hdr.9",-0.0012573
"3","ran3.hdr.1",-0.0011595
"3","ran3.hdr.10",-0.000992699999999999
"3","ran3.hdr.11",-0.0010483
"3","ran3.hdr.12",-0.0012641
"3","ran3.hdr.13",-0.000574500000000002
"3","ran3.hdr.14",-0.0017507
"3","ran3.hdr.15",-0.0021093
"3","ran3.hdr.16",-0.0019042
"3","ran3.hdr.17",-0.00145102
"3","ran3.hdr.18",-0.0021508
"3","ran3.hdr.19",-0.0022849
"3","ran3.hdr.2",-0.0031749
"3","ran3.hdr.20",-0.00171315
"3","ran3.hdr.21",-0.0023074
"3","ran3.hdr.22",-0.0006697
"3","ran3.hdr.23",-0.00208858
"3","ran3.hdr.24",-0.0020766
"3","ran3.hdr.25",-0.0013082
"3","ran3.hdr.26",-0.00311942
"3","ran3.hdr.27",-0.0005146
"3","ran3.hdr.28",-0.00223107
"3","ran3.hdr.29",-0.0013161
"3","ran3.hdr.3",-0.0013356
"3","ran3.hdr.30",-0.0020486
"3","ran3.hdr.31",-0.00126537
"3","ran3.hdr.32",-0.0018536
"3","ran3.hdr.33",-0.0031124
"3","ran3.hdr.34",-0.0015184
"3","ran3.hdr.35",-0.00125586
"3","ran3.hdr.36",-0.0022231
"3","ran3.hdr.37",-0.0041545
"3","ran3.hdr.38",-0.0022989
"3","ran3.hdr.39",-0.0015994
"3","ran3.hdr.4",-0.0011579
"3","ran3.hdr.40",-0.0011615
"3","ran3.hdr.41",-0.0012324
"3","ran3.hdr.42",-0.0016752
"3","ran3.hdr.43",-0.000864899999999998
"3","ran3.hdr.44",-0.00747314
"3","ran3.hdr.45",-0.005137
"3","ran3.hdr.46",-0.0032432
"3","ran3.hdr.47",-0.00125549
"3","ran3.hdr.48",-0.000893700000000001
"3","ran3.hdr.49",-0.0014838
"3","ran3.hdr.5",-0.0027824
"3","ran3.hdr.50",-0.001916
"3","ran3.hdr.51",-0.002294
"3","ran3.hdr.52",-0.0014303
"3","ran3.hdr.53",-0.0011299
"3","ran3.hdr.54",-0.0011495
"3","ran3.hdr.55",-0.000584629999999999
"3","ran3.hdr.56",-0.00123925
"3","ran3.hdr.57",-0.00106235
"3","ran3.hdr.58",-0.00031029
"3","ran3.hdr.6",-0.000391300000000001
"3","ran3.hdr.7",-0.000854299999999999
"3","ran3.hdr.8",-0.0012229
"3","ran3.hdr.9",-0.000494099999999997
"4","ran4.hdr.1",-0.000773899999999999
"4","ran4.hdr.10",-0.0018141
"4","ran4.hdr.11",-0.0043922
"4","ran4.hdr.12",-0.0029998
"4","ran4.hdr.13",-0.000156299999999998
"4","ran4.hdr.14",-0.00122281
"4","ran4.hdr.15",-0.0009497
"4","ran4.hdr.16",-0.0019084
"4","ran4.hdr.17",-0.0042351
"4","ran4.hdr.18",-0.001372
"4","ran4.hdr.19",-0.0012537
"4","ran4.hdr.2",-0.000546700000000001
"4","ran4.hdr.20",-0.002822
"4","ran4.hdr.21",-0.0021688
"4","ran4.hdr.22",-0.00282579
"4","ran4.hdr.23",-0.0035398
"4","ran4.hdr.24",-0.0016315
"4","ran4.hdr.25",-0.0011462
"4","ran4.hdr.26",-0.0018927
"4","ran4.hdr.27",-0.0034702
"4","ran4.hdr.28",-0.000704
"4","ran4.hdr.29",-0.0028083
"4","ran4.hdr.3",-0.00157371
"4","ran4.hdr.30",-0.0014032
"4","ran4.hdr.31",-0.001442
"4","ran4.hdr.32",-0.0011268
"4","ran4.hdr.33",-0.0060077
"4","ran4.hdr.34",-0.0010765
"4","ran4.hdr.35",-0.0023388
"4","ran4.hdr.36",-0.0017423
"4","ran4.hdr.37",-0.0061272
"4","ran4.hdr.38",-0.000558900000000001
"4","ran4.hdr.39",-0.000950059999999999
"4","ran4.hdr.4",-0.000592280000000001
"4","ran4.hdr.40",-0.000695000000000001
"4","ran4.hdr.41",-0.001656
"4","ran4.hdr.42",-0.0042943
"4","ran4.hdr.43",-0.005137
"4","ran4.hdr.44",-0.000763200000000002
"4","ran4.hdr.45",-0.00025201
"4","ran4.hdr.46",-0.0011986
"4","ran4.hdr.47",-0.0018535
"4","ran4.hdr.48",-0.0021608
"4","ran4.hdr.49",-0.00113641
"4","ran4.hdr.5",-0.0011014
"4","ran4.hdr.50",-0.00295643
"4","ran4.hdr.51",-0.00164826
"4","ran4.hdr.52",-0.0017318
"4","ran4.hdr.53",-0.0013397
"4","ran4.hdr.54",-0.00525607
"4","ran4.hdr.55",-0.0030356
"4","ran4.hdr.56",-0.0009681
"4","ran4.hdr.57",-0.000886400000000001
"4","ran4.hdr.58",-0.000996660000000001
"4","ran4.hdr.6",-0.001337
"4","ran4.hdr.7",-0.0008517
"4","ran4.hdr.8",-0.0037072
"4","ran4.hdr.9",-0.0031303
"5","ran5.hdr.1",-0.00152136
"5","ran5.hdr.10",-0.0012161
"5","ran5.hdr.11",-0.0011158
"5","ran5.hdr.12",-0.0010581
"5","ran5.hdr.13",-0.0055322
"5","ran5.hdr.14",-0.0025513
"5","ran5.hdr.15",-0.0017138
"5","ran5.hdr.16",-0.0015808
"5","ran5.hdr.17",-0.0010477
"5","ran5.hdr.18",-0.0020014
"5","ran5.hdr.19",-0.0004013
"5","ran5.hdr.2",-0.0011139
"5","ran5.hdr.20",-0.000767799999999999
"5","ran5.hdr.21",-0.0010129
"5","ran5.hdr.22",-0.0008456
"5","ran5.hdr.23",-0.0011332
"5","ran5.hdr.24",-0.0007589
"5","ran5.hdr.25",-0.0004887
"5","ran5.hdr.26",NA
"5","ran5.hdr.27",-0.001106
"5","ran5.hdr.28",-0.0018241
"5","ran5.hdr.29",-0.00107771
"5","ran5.hdr.3",-0.0018302
"5","ran5.hdr.30",-0.000704899999999998
"5","ran5.hdr.31",-0.0010697
"5","ran5.hdr.32",-0.002467
"5","ran5.hdr.33",-0.00099
"5","ran5.hdr.34",-0.00124159
"5","ran5.hdr.35",-0.0010199
"5","ran5.hdr.36",-0.0030473
"5","ran5.hdr.37",-0.00222237
"5","ran5.hdr.38",-0.000814599999999999
"5","ran5.hdr.39",-0.0024095
"5","ran5.hdr.4",-0.0022225
"5","ran5.hdr.40",-0.0011426
"5","ran5.hdr.41",-0.0036778
"5","ran5.hdr.42",-0.0009224
"5","ran5.hdr.43",-0.0019435
"5","ran5.hdr.44",-0.0019715
"5","ran5.hdr.45",-0.0016465
"5","ran5.hdr.46",-0.0010653
"5","ran5.hdr.47",-0.000591999999999999
"5","ran5.hdr.48",-0.0028192
"5","ran5.hdr.49",-0.000332500000000003
"5","ran5.hdr.5",-0.000787599999999999
"5","ran5.hdr.50",-0.001872
"5","ran5.hdr.51",-0.0023088
"5","ran5.hdr.52",-0.00164633
"5","ran5.hdr.53",-0.002008
"5","ran5.hdr.54",-0.0007049
"5","ran5.hdr.55",-0.0014121
"5","ran5.hdr.56",-0.000382299999999999
"5","ran5.hdr.57",-0.00106235
"5","ran5.hdr.58",-0.00153578
"5","ran5.hdr.6",-0.0020494
"5","ran5.hdr.7",-0.000459399999999999
"5","ran5.hdr.8",-0.002135
"5","ran5.hdr.9",-0.0030642
"6","ran6.hdr.1",-0.0023736
"6","ran6.hdr.10",-0.0018495
"6","ran6.hdr.11",-0.0013128
"6","ran6.hdr.12",-0.0009116
"6","ran6.hdr.13",-0.0039105
"6","ran6.hdr.14",-0.0008857
"6","ran6.hdr.15",-0.000765
"6","ran6.hdr.16",-0.00181712
"6","ran6.hdr.17",-0.0042351
"6","ran6.hdr.18",-0.0017861
"6","ran6.hdr.19",-0.000682199999999997
"6","ran6.hdr.2",-0.0007501
"6","ran6.hdr.20",-0.0034646
"6","ran6.hdr.21",-0.0012414
"6","ran6.hdr.22",-0.000860900000000001
"6","ran6.hdr.23",-0.00271575
"6","ran6.hdr.24",-0.0016177
"6","ran6.hdr.25",-0.0005381
"6","ran6.hdr.26",-0.00212682
"6","ran6.hdr.27",-0.0006402
"6","ran6.hdr.28",-0.0019556
"6","ran6.hdr.29",-0.000953800000000001
"6","ran6.hdr.3",-0.0024967
"6","ran6.hdr.30",-0.0027797
"6","ran6.hdr.31",-0.00223487
"6","ran6.hdr.32",-0.00170242
"6","ran6.hdr.33",-0.0028136
"6","ran6.hdr.34",-0.0023834
"6","ran6.hdr.35",-0.0025292
"6","ran6.hdr.36",-0.00222237
"6","ran6.hdr.37",-0.0012203
"6","ran6.hdr.38",-0.0019435
"6","ran6.hdr.39",-0.000862099999999999
"6","ran6.hdr.4",-0.0026004
"6","ran6.hdr.40",-0.0009084
"6","ran6.hdr.41",-0.0021058
"6","ran6.hdr.42",-0.0016673
"6","ran6.hdr.43",-0.0016752
"6","ran6.hdr.44",-0.0014676
"6","ran6.hdr.45",-0.00415889
"6","ran6.hdr.46",-0.00881992
"6","ran6.hdr.47",-0.0010737
"6","ran6.hdr.48",-0.0040768
"6","ran6.hdr.49",-0.0016893
"6","ran6.hdr.5",-0.0020439
"6","ran6.hdr.50",-0.00139623
"6","ran6.hdr.51",-0.0019127
"6","ran6.hdr.52",-0.0021608
"6","ran6.hdr.53",-0.0017795
"6","ran6.hdr.54",-0.0033226
"6","ran6.hdr.55",-0.001903
"6","ran6.hdr.56",-0.00525607
"6","ran6.hdr.57",-0.00031029
"6","ran6.hdr.58",-0.00080657
"6","ran6.hdr.6",-0.00328736
"6","ran6.hdr.7",-0.0019172
"6","ran6.hdr.8",-0.000629999999999999
"6","ran6.hdr.9",-0.0011158
"7","ran7.hdr.1",-0.00362872
"7","ran7.hdr.10",-0.0013635
"7","ran7.hdr.11",-0.000751799999999999
"7","ran7.hdr.12",-0.00187705
"7","ran7.hdr.13",-0.00156483
"7","ran7.hdr.14",-0.0020298
"7","ran7.hdr.15",-0.0042501
"7","ran7.hdr.16",-0.0011024
"7","ran7.hdr.17",-0.000732999999999998
"7","ran7.hdr.18",-0.00133439
"7","ran7.hdr.19",-0.000132299999999998
"7","ran7.hdr.2",-0.000959600000000001
"7","ran7.hdr.20",-0.000896100000000002
"7","ran7.hdr.21",-0.0019936
"7","ran7.hdr.22",-0.000731219999999999
"7","ran7.hdr.23",-0.000832400000000001
"7","ran7.hdr.24",-0.0004702
"7","ran7.hdr.25",-0.0014929
"7","ran7.hdr.26",-0.0012046
"7","ran7.hdr.27",-0.00099
"7","ran7.hdr.28",-0.000582300000000001
"7","ran7.hdr.29",-0.00104466
"7","ran7.hdr.3",-0.002743
"7","ran7.hdr.30",-0.0015215
"7","ran7.hdr.31",-0.001442
"7","ran7.hdr.32",-0.000173999999999997
"7","ran7.hdr.33",-0.000844399999999999
"7","ran7.hdr.34",-0.0036237
"7","ran7.hdr.35",-0.0023211
"7","ran7.hdr.36",-0.0016396
"7","ran7.hdr.37",-0.000949700000000001
"7","ran7.hdr.38",-0.00086201
"7","ran7.hdr.39",-0.0022231
"7","ran7.hdr.4",-0.001666
"7","ran7.hdr.40",-0.0022989
"7","ran7.hdr.41",-0.0061272
"7","ran7.hdr.42",-0.0012899
"7","ran7.hdr.43",-0.0012037
"7","ran7.hdr.44",-0.0019472
"7","ran7.hdr.45",-0.0022803
"7","ran7.hdr.46",-0.0011923
"7","ran7.hdr.47",-0.0029977
"7","ran7.hdr.48",-0.001654
"7","ran7.hdr.49",-0.00064888
"7","ran7.hdr.5",-0.000399400000000001
"7","ran7.hdr.50",-0.0024602
"7","ran7.hdr.51",-0.001371
"7","ran7.hdr.52",-0.0040426
"7","ran7.hdr.53",-0.0013621
"7","ran7.hdr.54",-0.01105965
"7","ran7.hdr.55",-0.0031453
"7","ran7.hdr.56",-0.0004388
"7","ran7.hdr.57",-0.00106235
"7","ran7.hdr.58",-0.00180803
"7","ran7.hdr.6",-0.0014005
"7","ran7.hdr.7",-0.000815400000000001
"7","ran7.hdr.8",-0.00202418
"7","ran7.hdr.9",-0.0015477
"8","ran8.hdr.1",-0.0020164
"8","ran8.hdr.10",-0.0018249
"8","ran8.hdr.11",-0.0010911
"8","ran8.hdr.12",-0.000548399999999998
"8","ran8.hdr.13",-0.0025602
"8","ran8.hdr.14",-0.000786499999999999
"8","ran8.hdr.15",-0.0012184
"8","ran8.hdr.16",-0.0022849
"8","ran8.hdr.17",-0.00106462
"8","ran8.hdr.18",-0.00253925
"8","ran8.hdr.19",-0.0018254
"8","ran8.hdr.2",-0.00057548
"8","ran8.hdr.20",-0.0021941
