"column_label","ran.hdr.name","CLR_NOTABILIS.max"
"1","ran1.hdr.1",6.104791
"1","ran1.hdr.10",11.92807
"1","ran1.hdr.11",8.470461
"1","ran1.hdr.12",5.988915
"1","ran1.hdr.13",8.427574
"1","ran1.hdr.14",4.880437
"1","ran1.hdr.15",218.3401
"1","ran1.hdr.16",6.800797
"1","ran1.hdr.17",7.617838
"1","ran1.hdr.18",6.191792
"1","ran1.hdr.19",7.555292
"1","ran1.hdr.2",6.193471
"1","ran1.hdr.20",16.94107
"1","ran1.hdr.21",8.985037
"1","ran1.hdr.22",4.329539
"1","ran1.hdr.23",5.10577
"1","ran1.hdr.24",2.947221
"1","ran1.hdr.25",23.77865
"1","ran1.hdr.26",5.905272
"1","ran1.hdr.27",4.63465
"1","ran1.hdr.28",13.84269
"1","ran1.hdr.29",9.139393
"1","ran1.hdr.3",4.318404
"1","ran1.hdr.30",2.699905
"1","ran1.hdr.31",6.428201
"1","ran1.hdr.32",3.496521
"1","ran1.hdr.33",7.416357
"1","ran1.hdr.34",7.473887
"1","ran1.hdr.35",6.218665
"1","ran1.hdr.36",9.185977
"1","ran1.hdr.37",13.13258
"1","ran1.hdr.38",9.725898
"1","ran1.hdr.39",3.941171
"1","ran1.hdr.4",27.20904
"1","ran1.hdr.40",7.397331
"1","ran1.hdr.41",16.18032
"1","ran1.hdr.42",6.384745
"1","ran1.hdr.43",15.2572
"1","ran1.hdr.44",51.67524
"1","ran1.hdr.45",7.257629
"1","ran1.hdr.46",8.964043
"1","ran1.hdr.47",25.58074
"1","ran1.hdr.48",10.82294
"1","ran1.hdr.49",10.61455
"1","ran1.hdr.5",9.206508
"1","ran1.hdr.50",11.20718
"1","ran1.hdr.51",8.161084
"1","ran1.hdr.52",7.249934
"1","ran1.hdr.53",6.729925
"1","ran1.hdr.54",4.67801
"1","ran1.hdr.55",6.342469
"1","ran1.hdr.56",7.228151
"1","ran1.hdr.57",32.0616
"1","ran1.hdr.58",21.75717
"1","ran1.hdr.59",6.314568
"1","ran1.hdr.6",12.48923
"1","ran1.hdr.60",7.145926
"1","ran1.hdr.61",3.349852
"1","ran1.hdr.62",6.610032
"1","ran1.hdr.63",9.356842
"1","ran1.hdr.64",17.8658
"1","ran1.hdr.65",4.843511
"1","ran1.hdr.66",18.21158
"1","ran1.hdr.67",4.651628
"1","ran1.hdr.68",6.536455
"1","ran1.hdr.69",18.07833
"1","ran1.hdr.7",13.07477
"1","ran1.hdr.70",13.32439
"1","ran1.hdr.71",29.58789
"1","ran1.hdr.72",24.36003
"1","ran1.hdr.73",7.534953
"1","ran1.hdr.74",9.743855
"1","ran1.hdr.75",15.01812
"1","ran1.hdr.76",17.02048
"1","ran1.hdr.77",4.834904
"1","ran1.hdr.78",8.124009
"1","ran1.hdr.8",4.677402
"1","ran1.hdr.9",6.840445
"2","ran2.hdr.1",6.729078
"2","ran2.hdr.10",5.064148
"2","ran2.hdr.11",5.149281
"2","ran2.hdr.12",4.921046
"2","ran2.hdr.13",4.575372
"2","ran2.hdr.14",7.853477
"2","ran2.hdr.15",9.277319
"2","ran2.hdr.16",7.566973
"2","ran2.hdr.17",62.73713
"2","ran2.hdr.18",14.44438
"2","ran2.hdr.19",19.40955
"2","ran2.hdr.2",7.682502
"2","ran2.hdr.20",14.38501
"2","ran2.hdr.21",9.782949
"2","ran2.hdr.22",8.475585
"2","ran2.hdr.23",5.350068
"2","ran2.hdr.24",6.037365
"2","ran2.hdr.25",4.26252
"2","ran2.hdr.26",5.300113
"2","ran2.hdr.27",8.300374
"2","ran2.hdr.28",5.13678
"2","ran2.hdr.29",9.874899
"2","ran2.hdr.3",5.304547
"2","ran2.hdr.30",4.097836
"2","ran2.hdr.31",6.74337
"2","ran2.hdr.32",9.867788
"2","ran2.hdr.33",6.497154
"2","ran2.hdr.34",6.889475
"2","ran2.hdr.35",14.03475
"2","ran2.hdr.36",7.52279
"2","ran2.hdr.37",9.726909
"2","ran2.hdr.38",4.795932
"2","ran2.hdr.39",12.33748
"2","ran2.hdr.4",11.91767
"2","ran2.hdr.40",5.04955
"2","ran2.hdr.41",4.991955
"2","ran2.hdr.42",6.232012
"2","ran2.hdr.43",16.18032
"2","ran2.hdr.44",8.408559
"2","ran2.hdr.45",24.20297
"2","ran2.hdr.46",6.073983
"2","ran2.hdr.47",5.242792
"2","ran2.hdr.48",2.90888
"2","ran2.hdr.49",6.262175
"2","ran2.hdr.5",26.89481
"2","ran2.hdr.50",2.832616
"2","ran2.hdr.51",7.275227
"2","ran2.hdr.52",3.986512
"2","ran2.hdr.53",8.771744
"2","ran2.hdr.54",7.414771
"2","ran2.hdr.55",32.58335
"2","ran2.hdr.56",6.297131
"2","ran2.hdr.57",6.991802
"2","ran2.hdr.58",9.330614
"2","ran2.hdr.59",5.953618
"2","ran2.hdr.6",5.443187
"2","ran2.hdr.60",5.136876
"2","ran2.hdr.61",5.400295
"2","ran2.hdr.62",88.40246
"2","ran2.hdr.63",23.17555
"2","ran2.hdr.64",4.489418
"2","ran2.hdr.65",4.037866
"2","ran2.hdr.66",6.098368
"2","ran2.hdr.67",5.915567
"2","ran2.hdr.68",7.992512
"2","ran2.hdr.69",14.51421
"2","ran2.hdr.7",8.459272
"2","ran2.hdr.70",4.85198
"2","ran2.hdr.71",8.622398
"2","ran2.hdr.72",5.694613
"2","ran2.hdr.73",7.515667
"2","ran2.hdr.74",3.817122
"2","ran2.hdr.75",3.629571
"2","ran2.hdr.76",4.160436
"2","ran2.hdr.77",8.115958
"2","ran2.hdr.78",5.17003
"2","ran2.hdr.8",26.34057
"2","ran2.hdr.9",6.34165
"3","ran3.hdr.1",3.132311
"3","ran3.hdr.10",3.953965
"3","ran3.hdr.11",6.748619
"3","ran3.hdr.12",21.33456
"3","ran3.hdr.13",14.09979
"3","ran3.hdr.14",10.13402
"3","ran3.hdr.15",5.081205
"3","ran3.hdr.16",6.422579
"3","ran3.hdr.17",7.393773
"3","ran3.hdr.18",2.447951
"3","ran3.hdr.19",5.105036
"3","ran3.hdr.2",2.200613
"3","ran3.hdr.20",7.578445
"3","ran3.hdr.21",5.252235
"3","ran3.hdr.22",5.310949
"3","ran3.hdr.23",8.062124
"3","ran3.hdr.24",5.70344
"3","ran3.hdr.25",11.11168
"3","ran3.hdr.26",14.71756
"3","ran3.hdr.27",5.887665
"3","ran3.hdr.28",10.4331
"3","ran3.hdr.29",9.05232
"3","ran3.hdr.3",10.54151
"3","ran3.hdr.30",3.486983
"3","ran3.hdr.31",6.861623
"3","ran3.hdr.32",7.859936
"3","ran3.hdr.33",14.17762
"3","ran3.hdr.34",30.88907
"3","ran3.hdr.35",12.06332
"3","ran3.hdr.36",5.621029
"3","ran3.hdr.37",3.700559
"3","ran3.hdr.38",9.182357
"3","ran3.hdr.39",8.173071
"3","ran3.hdr.4",10.65328
"3","ran3.hdr.40",6.962782
"3","ran3.hdr.41",34.05338
"3","ran3.hdr.42",5.500408
"3","ran3.hdr.43",4.24141
"3","ran3.hdr.44",11.23431
"3","ran3.hdr.45",5.813434
"3","ran3.hdr.46",25.58074
"3","ran3.hdr.47",6.237058
"3","ran3.hdr.48",5.611177
"3","ran3.hdr.49",12.88915
"3","ran3.hdr.5",5.732509
"3","ran3.hdr.50",25.25221
"3","ran3.hdr.51",4.723881
"3","ran3.hdr.52",11.71548
"3","ran3.hdr.53",5.457237
"3","ran3.hdr.54",10.40954
"3","ran3.hdr.55",5.124783
"3","ran3.hdr.56",8.702635
"3","ran3.hdr.57",7.30257
"3","ran3.hdr.58",10.65228
"3","ran3.hdr.59",7.414771
"3","ran3.hdr.6",5.333321
"3","ran3.hdr.60",12.91236
"3","ran3.hdr.61",5.810981
"3","ran3.hdr.62",5.953496
"3","ran3.hdr.63",5.991722
"3","ran3.hdr.64",4.875922
"3","ran3.hdr.65",6.925403
"3","ran3.hdr.66",4.519273
"3","ran3.hdr.67",8.842438
"3","ran3.hdr.68",4.566412
"3","ran3.hdr.69",4.590613
"3","ran3.hdr.7",6.200177
"3","ran3.hdr.70",6.654503
"3","ran3.hdr.71",9.513307
"3","ran3.hdr.72",5.032155
"3","ran3.hdr.73",3.993114
"3","ran3.hdr.74",3.609124
"3","ran3.hdr.75",5.964439
"3","ran3.hdr.76",6.262523
"3","ran3.hdr.77",15.19787
"3","ran3.hdr.78",5.664436
"3","ran3.hdr.8",3.098986
"3","ran3.hdr.9",4.074368
"4","ran4.hdr.1",10.88439
"4","ran4.hdr.10",6.952953
