"shdr.para.west.id","piNota.minus.piLativ.min","omega.era.max","iHS_NOTABILIS.max","CLR_NOTABILIS.max","log10.LRT.pval_median.max","piNota.minus.piLativ.min.less.5th.perc.sims","piNota.minus.piLativ.min.less.10th.perc.sims","omega.era.max.more.95th.perc.sims","omega.era.max.more.90th.perc.sims","iHS_NOTABILIS.max.more.95th.perc.sims","iHS_NOTABILIS.max.more.90th.perc.sims","CLR_NOTABILIS.max.more.95th.perc.sims","CLR_NOTABILIS.max.more.90th.perc.sims","log10.LRT.pval_median.max.95th.perc.sims","log10.LRT.pval_median.max.90th.perc.sims","no.stats.outlier.min.max.10th.90th.sims","no.stats.outlier.min.max.5th.95th.sims","is.allo.hdr"
"shdr.west.001",-0.0005784,224.976868,0.0619718,7.520554,1.24508183372874,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.002",-0.0026949,190.375458,0.233083,13.75298,2.77560081484052,"no","yes","no","no","no","no","no","no","no","yes",2,0,"no"
"shdr.west.003",-0.0013435,312.97406,0.0895238,12.26156,3.21873612042282,"no","no","no","no","no","no","no","no","no","yes",1,0,"no"
"shdr.west.004",-0.0011092,159.198608,0.112845,4.296085,2.82796495310313,"no","no","no","no","no","no","no","no","no","yes",1,0,"no"
"shdr.west.005",-0.004515,122.588303,0.880478,9.562185,3.31715487385116,"yes","yes","no","no","yes","yes","no","no","no","yes",3,2,"yes"
"shdr.west.006",-0.00012473,145.857437,0.160477,10.41006,1.4166619591246,"no","no","no","no","no","no","no","no","no","no",0,0,"yes"
"shdr.west.007",-0.00009361,252.332138,0.08,6.524474,0.956566666477517,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.008",-0.000077743,145.912399,0.126761,13.09639,1.24183389834268,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.009",-0.00005217,NA,NA,0.0005726589,0.468600198330424,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.010",-0.000286100000000001,142.02478,0.106383,2.975892,1.21729837481091,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.011",-0.0013522,481.536865,0.368917,8.901047,1.28194099793569,"no","no","no","no","no","yes","no","no","no","no",1,0,"no"
"shdr.west.012",0.00010741,255.623917,0.0933661,3.312969,1.59374479523175,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.013",NA,350.100922,0.162393,3.72078,8.42554791661481,"no","no","no","no","no","no","no","no","yes","yes",1,1,"yes"
"shdr.west.014",-0.0035328,427.529205,0.0962099,3.799504,3.44797486331543,"yes","yes","no","no","no","no","no","no","no","yes",2,1,"yes"
"shdr.west.015",-0.0039147,386.986328,0.140741,16.06953,5.14607943175179,"yes","yes","no","no","no","no","no","yes","yes","yes",3,2,"yes"
"shdr.west.016",-0.000145270000000001,241.204681,0.171053,5.678504,1.18910920288087,"no","no","no","no","no","no","no","no","no","no",0,0,"yes"
"shdr.west.017",-0.000197699999999999,177.707138,0.2,4.215447,1.29474083376574,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.018",-0.000130499999999999,244.9552,0.158249,12.51941,1.21995258492929,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.019",-0.00025442,259.588593,0.0653595,3.529971,1.07561386886391,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.020",-0.0015953,195.583405,0.125,9.539214,1.05576079910119,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.021",NA,209.667725,0.244444,8.469612,1.43042268116646,"no","no","no","no","no","no","no","no","no","no",0,0,"yes"
"shdr.west.022",-0.00058509,154.578827,0.0541237,5.989512,1.11628858780271,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.023",-0.0003795,167.374557,0.234234,3.503253,0.800754642583981,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.024",-0.000405638,216.65126,0.0536585,4.846196,1.26847593477784,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.025",-0.000681099999999999,400.654541,0.0631579,5.420155,1.11934177580493,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.026",-0.000393299999999999,261.045563,0.333333,11.35246,1.32399538999931,"no","no","no","no","no","yes","no","no","no","no",1,0,"no"
"shdr.west.027",-0.00033671,211.041962,0.0807175,5.505696,1.09754380109919,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.028",0.0000449828,131.710724,0.201754,14.44438,1.77249413218814,"no","no","no","no","no","no","no","no","no","no",0,0,"yes"
"shdr.west.029",-0.0002267,267.264526,0.13615,6.334584,1.38393713712377,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.030",-0.000506029999999999,336.190277,0.0782779,19.40955,1.98101617507587,"no","no","no","no","no","no","no","yes","no","no",1,0,"no"
"shdr.west.031",-0.00019598,184.84137,0.05,7.287983,0.840816319954578,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.032",-0.00062684,293.729431,0.0883392,6.276955,1.19770457471869,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.033",-0.000622000000000001,220.786499,0.0618047,3.498493,2.42045130820159,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.034",-0.0000269599999999999,370.483978,0.140244,3.580833,1.44353951261279,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.035",-0.00082745,152.524124,0.261641,8.427574,1.13931840750333,"no","no","no","no","no","no","no","no","no","no",0,0,"yes"
"shdr.west.036",-0.000217409999999999,202.324539,0.0465549,4.235158,0.767930015114918,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.037",-0.0004112,112.315422,0.0572519,6.800797,0.890408329323335,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.038",-0.0015418,307.761658,0.19403,8.082743,1.37644832386521,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.039",0.00001738,173.001343,0.0813397,5.105036,1.32305605922369,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.040",-0.00035428,366.940186,0.0896552,10.06807,1.26931770005963,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.041",-0.0011619,560.175598,0.166667,3.895204,2.3944659889454,"no","no","no","yes","no","no","no","no","no","no",1,0,"no"
"shdr.west.042",0.00009183,184.336197,0.0427807,3.852008,1.32728563231984,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.043",-0.0017312,392.675354,0.453441,11.27168,2.09719050100333,"no","no","no","no","yes","yes","no","no","no","no",1,1,"no"
"shdr.west.044",NA,234.873581,0.153846,7.286994,1.79185888941387,"no","no","no","no","no","no","no","no","no","no",0,0,"yes"
"shdr.west.045",-0.00252268,89.059441,0.0376569,6.131839,1.89293535757747,"no","yes","no","no","no","no","no","no","no","no",1,0,"no"
"shdr.west.046",-0.000997100000000001,242.494492,0.10302,17.27953,1.83224546723138,"no","no","no","no","no","no","no","yes","no","no",1,0,"no"
"shdr.west.047",-0.000767400000000001,292.972931,0.0607477,8.064824,1.1666766414701,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.048",-0.00043339,180.810043,0.234234,5.27653,1.18459725244585,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.049",-0.0010804,225.205643,0.148276,10.97578,1.50652629288091,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.050",-0.0012522,199.034668,0.173913,10.76469,1.4540486823193,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.051",-0.00000579400000000005,373.538177,0.206522,4.050961,1.04516599104989,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
