"shdr.para.west.id","piPless.minus.piMalle.min","omega.mel.max","iHS_PLESSENI.max","CLR_PLESSENI.max","log10.LRT.pval_median.max","piPless.minus.piMalle.min.less.5th.perc.sims","piPless.minus.piMalle.min.less.10th.perc.sims","omega.mel.max.more.95th.perc.sims","omega.mel.max.more.90th.perc.sims","iHS_PLESSENI.max.more.95th.perc.sims","iHS_PLESSENI.max.more.90th.perc.sims","CLR_PLESSENI.max.more.95th.perc.sims","CLR_PLESSENI.max.more.90th.perc.sims","log10.LRT.pval_median.max.95th.perc.sims","log10.LRT.pval_median.max.90th.perc.sims","no.stats.outlier.min.max.10th.90th.sims","no.stats.outlier.min.max.5th.95th.sims","is.allo.hdr"
"shdr.west.001",-0.00152136,216.15155,0.0495495,21.22777,1.38775489655345,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.002",-0.0023736,694.973694,0.152582,35.75254,0.848080102502327,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.003",-0.00154936,1168.064453,0.191489,96.41552,1.04603360883001,"no","no","no","yes","no","no","yes","yes","no","no",2,1,"no"
"shdr.west.004",-0.0016597,1016.844971,0.0911602,24.20288,1.30318560467567,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.005",-0.0019983,1173.876465,0.108943,10.03295,0.972967535956898,"no","no","no","yes","no","no","no","no","no","no",1,0,"no"
"shdr.west.006",-0.0018156,390.829742,0.0990099,8.979847,0.814668199500319,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.007",-0.00104306,434.934784,0.155556,22.25615,1.09546766378188,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.008",-0.0040163,392.155975,0.196491,16.1381,2.26979462989926,"yes","yes","no","no","no","no","no","no","yes","yes",2,2,"no"
"shdr.west.009",-0.000317000000000001,280.924591,0.150538,8.794955,0.742909015279049,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.010",-0.0035601,161.094849,0.163636,68.14225,0.8992362547406,"no","yes","no","no","no","no","no","yes","no","no",2,0,"no"
"shdr.west.011",-0.0010483,802.786499,0.105793,10.57626,1.72022769467703,"no","no","no","no","no","no","no","no","no","yes",1,0,"no"
"shdr.west.012",-0.00117941,1071.002563,0.0702479,433.3625,1.34088808437532,"no","no","no","no","no","no","yes","yes","no","no",1,1,"no"
"shdr.west.013",-0.0000625000000000001,457.308868,0.0647773,12.55512,0.984770559124471,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.014",-0.00208505,456.901581,0.0793201,20.51388,1.28718697743419,"no","no","no","no","no","no","no","no","no","no",0,0,"no"
"shdr.west.015",-0.0010164,445.149353,0.124,10.06038,2.09203722256617,"no","no","no","no","no","no","no","no","yes","yes",1,1,"no"
