relative,id.joana,cam.id,type,species,pop.me,accession,altitude,alt.type,side,type.gmk,tip.label,type.tree,mean.depth.wg.withzeros,seq.round,subsp,in.tree,in.tree.supp.balanced,in.main.text.tree,latitude,longitude,notes
erato,SRR4032025,,charithonia,charithonia,,,,high,,,,,,,,yes,,,,,
erato,SRR4032026,,charithonia,charithonia,,,,high,,,,,,,,yes,,,,,
erato,CAM040223,CAM040223,clyEhighE,clysonymus,,,,high,east,,,,,,,yes,,,,,
erato,CAM040247,CAM040247,clyEhighE,clysonymus,,,,high,east,,,,,,,yes,,,,,
erato,CAM040270,CAM040270,clyEhighE,clysonymus,,,,high,east,,,,,,,yes,,,,,
erato,CAM040271,CAM040271,clyEhighE,clysonymus,,,,high,east,,clys. high E,highland.species,,,,yes,yes,yes,,,
erato,CAM040274,CAM040274,clyEhighE,clysonymus,,,,high,east,,,,,,,yes,yes,,,,
erato,CAM040299,CAM040299,clyEhighE,clysonymus,,,,high,east,,,,,,,yes,yes,,,,
erato,CAM040300,CAM040300,clyEhighE,clysonymus,,,,high,east,,,,,,,yes,yes,,,,
erato,CAM040301,CAM040301,clyEhighE,clysonymus,,,,high,east,,,,,,,yes,yes,,,,
erato,CAM040709,CAM040709,clyEhighE,clysonymus,,,,high,east,,,,,,,yes,,,,,
erato,CAM040710,CAM040710,clyEhighE,clysonymus,,,,high,east,,,,,,,yes,,,,,
erato,ERR1307123,,clyEhighE,clysonymus,,,,high,east,,,,,,,yes,,,,,
erato,SRR4032078,,clyEhighE,clysonymus,,,,high,east,,,,,,,yes,,,,,
erato,SRR4032079,,clyEhighE,clysonymus,,,,high,east,,,,,,,yes,,,,,
erato,CAM002846,CAM002846,clyEhighW,clysonymus,,,,high,west,,clys. high W,highland.species,,,,yes,yes,yes,,,
erato,CAM002847,CAM002847,clyEhighW,clysonymus,,,,high,west,,,,,,,yes,yes,,,,
erato,CAM040323,CAM040323,clyEhighW,clysonymus,,,,high,west,,,,,,,yes,yes,,,,
erato,CAM040369,CAM040369,clyEhighW,clysonymus,,,,high,west,,,,,,,yes,yes,,,,
erato,CAM040908,CAM040908,clyEhighW,clysonymus,,,,high,west,,,,,,,yes,yes,,,,
erato,CAM040909,CAM040909,clyEhighW,clysonymus,,,,high,west,,,,,,,yes,,,,,
erato,SRR3102172,,congener,congener,,,,high,,,,,,,,yes,,,,,
erato,SRR8883893,,demeter,demeter,,,,high,,,,,,,,yes,,,,,
erato,SRR3102171,,ele,eleuchia,,,,high,west,,,,,,,yes,best.no,,,,
erato,CAM040566,CAM040566,eleHW,eleuchia,,,,,west,,eleuchia,outgroup,,,,yes,yes,yes,,,
erato,CAM040609,CAM040609,eleHW,eleuchia,,,,high,west,,,,,,,yes,yes,,,,
erato,CAM040610,CAM040610,eleHW,eleuchia,,,,high,west,,,,,,,yes,yes,,,,
erato,CAM040611,CAM040611,eleHW,eleuchia,,,,high,west,,,,,,,yes,yes,,,,
erato,CAM040612,CAM040612,eleHW,eleuchia,,,,high,west,,,,,,,yes,yes,,,,
erato,CAM040613,CAM040613,eleHW,eleuchia,,,,high,west,,,,,,,yes,,,,,
erato,CAM040614,CAM040614,eleHW,eleuchia,,,,high,west,,,,,,,yes,,,,,
erato,CAM040615,CAM040615,eleHW,eleuchia,,,,high,west,,,,,,,yes,,,,,
erato,CAM040616,CAM040616,eleHW,eleuchia,,,,high,west,,,,,,,yes,,,,,
erato,CAM040756,CAM040756,eleHW,eleuchia,,,,high,west,,,,,,,yes,,,,,
erato,CAM040078,CAM040078,eraChighE,erato,era.co.e.cam,ERS4201830,885,high,east,ChighE,,,7.21,BGI.round.2.17,dignus,no,,,,,
erato,CAM040106,CAM040106,eraChighE,erato,era.co.e.moc,ERS4212893,1258,high,east,ChighE,era. high Col. E,erato.highland,18.35,Novo.col.aug17,dignus,no,yes,yes,,,
erato,CAM040111,CAM040111,eraChighE,erato,era.co.e.cam,ERS4212895,1064,high,east,ChighE,,,19.68,Novo.col.aug17,dignus,no,yes,,,,
erato,CAM040112,CAM040112,eraChighE,erato,era.co.e.cam,ERS4212896,1089,high,east,ChighE,,,18.45,Novo.col.aug17,dignus,no,yes,,,,
erato,CAM040113,CAM040113,eraChighE,erato,era.co.e.cam,ERS4212581,1089,high,east,ChighE,,,20.68,Novo.col.aug17,dignus,no,yes,,,,
erato,CAM040114,CAM040114,eraChighE,erato,era.co.e.cam,ERS4212897,1089,high,east,ChighE,,,17.38,Novo.col.aug17,dignus,no,yes,,,,
erato,MAC003747,MAC003747,eraChighE,erato,era.co.e.flo,,1200,high,east,ChighE,,,49.39,Novo.Kozak.18,lativitta,no,,,,,
erato,MAC004458,MAC004458,eraChighE,erato,era.co.e.flo,,976,high,east,ChighE,,,37.53,Novo.Kozak.18,lativitta,no,,,,,
erato,MAC004461,MAC004461,eraChighE,erato,era.co.e.flo,,1308,high,east,ChighE,,,22.13,Novo.Kozak.18,lativitta,no,,,,,
erato,15N104,15N104,eraChighW,erato,era.co.w.0,,1178,high,west,ChighW,,,8.5,Curran.WG.17,venus x chestertonii,no,,,,,
erato,15N120,15N120,eraChighW,erato,era.co.w.que,,1178,high,west,ChighW,era. high Col. W,erato.highland,9.16,Curran.WG.17,venus,no,yes,yes,,,
erato,15N121,15N121,eraChighW,erato,era.co.w.que,,1178,high,west,ChighW,,,9.53,Curran.WG.17,venus,no,yes,,,,
erato,15N135,15N135,eraChighW,erato,era.co.w.0,,1165,high,west,ChighW,,,8.69,Curran.WG.17,chestertonii,no,,,,,
erato,15N136,15N136,eraChighW,erato,era.co.w.0,,1165,high,west,ChighW,,,8.62,Curran.WG.17,chestertonii,no,,,,,
erato,CS003654,CS003654,eraChighW,erato,,,,high,west,,,,,,,no,,,,,
erato,CS003655,CS003655,eraChighW,erato,era.co.w.0,ERS4212849,1011,high,west,ChighW,,,5.39,BGI.round.3.18,venus,no,yes,,,,
erato,CS003656,CS003656,eraChighW,erato,,,,high,west,,,,,,,no,,,,,
erato,CS003657,CS003657,eraChighW,erato,era.co.w.0,ERS4212850,1011,high,west,ChighW,,,5.17,BGI.round.3.18,venus,no,yes,,,,
erato,CS003659,CS003659,eraChighW,erato,era.co.w.0,ERS4212851,1011,high,west,ChighW,,,4.54,BGI.round.3.18,venus,no,yes,,,,
