P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
clyEhighE	clyEhighW	eraChighE	0.00312615	0.617122	0.268577	0.00066962	37746	7767.45	7719.04
clyEhighE	clyEhighW	eraChighW	0.00460773	1.03636	0.150017	0.000867263	35629.9	7770.7	7699.42
clyEhighE	clyEhighW	eraCvlowE	0.00359289	0.767545	0.221379	0.000819623	37647.6	7743.88	7688.43
clyEhighE	clyEhighW	eraCvlowW	0.00842281	1.91776	0.0275707	0.00160871	35758.6	7820.59	7689.95
clyEhighE	clyEhighW	eraEhighE	0.00318253	0.591011	0.277257	0.000720395	37654.7	7776.91	7727.56
clyEhighE	clyEhighW	eraEhighW	0.00887122	1.87254	0.0305661	0.00162886	35176.2	7746.09	7609.87
clyEhighE	clyEhighW	eraEvlowE	0.00464839	0.900275	0.183987	0.00106039	37595.7	7760.8	7688.99
clyEhighE	clyEhighW	eraEvlowW	0.00696098	1.63775	0.0507365	0.00127912	35219.6	7711.77	7605.15
clyEhighE	clyEhighW	hermathena	0.00507932	0.625706	0.265754	0.000756656	31926.4	5411.34	5356.65
clyEhighE	clyEhighW	himHE	0.0107213	1.51593	0.0647689	0.00152052	35224	7295.37	7140.6
clyEhighW	clyEhighE	hortense	0.00507089	0.645126	0.259423	0.00286828	9733.14	4956.78	4906.76
clyEhighW	clyEhighE	telhighE	0.00674474	1.2925	0.0980917	0.00295488	18593.8	5128.48	5059.77
eraChighE	eraChighW	clyEhighE	0.0389444	11.4269	nan	0.0451064	80655	25244.3	23351.7
eraChighE	eraCvlowE	clyEhighE	0.00198003	0.872329	0.191515	0.00185032	89286.4	19771.5	19693.3
eraChighE	eraCvlowW	clyEhighE	0.036104	10.661	nan	0.0415606	81209.4	25003	23260.5
eraChighE	eraEhighE	clyEhighE	0.00286762	1.43395	0.0757931	0.00266463	90121.6	19678	19565.4
eraChighE	eraEhighW	clyEhighE	0.0445041	11.6058	nan	0.0521419	79715.3	25609.6	23427.3
eraChighE	eraEvlowE	clyEhighE	0.00322351	2.14561	0.015952	0.00299578	89548	19708.2	19581.6
eraChighE	eraEvlowW	clyEhighE	0.0442246	10.7576	nan	0.0517372	79675.3	25569.7	23403.9
eraChighE	hermathena	clyEhighE	0.0144077	2.50901	0.00605347	0.0153649	40175.9	20355.5	19777.3
eraChighE	himHE	clyEhighE	0.0289988	9.84024	nan	0.027761	82093.2	20182.6	19045
hortense	clyEhighE	eraChighE	0.0431405	10.0708	nan	0.0111485	31076.2	9117.13	8363.03
telhighE	clyEhighE	eraChighE	0.0436227	8.80845	6.50521e-19	0.0165885	29172.5	14327	13129.3
eraCvlowE	eraChighW	clyEhighE	0.0371797	13.8668	nan	0.0431016	79659.5	25181.2	23375.9
eraCvlowW	eraChighW	clyEhighE	0.00411831	2.3397	0.00964953	0.00359822	100093	17528.7	17384.9
eraEhighE	eraChighW	clyEhighE	0.0365744	10.9427	nan	0.042325	80249.2	25147.2	23372.6
eraChighW	eraEhighW	clyEhighE	0.00883077	3.88394	5.13895e-05	0.00763137	99936.1	17346.6	17043
