branch	branch_descendants	Outgroup	heurippa	melCvlowE	pachinus	cydEhighW	timElowE	timEhighE	melEhighE	melEhighW	melElowW	melCvlowW	melChighW	melChighE	melEvlowE
b2	heurippa,timElowE,timEhighE,melCvlowE,melEhighE,melChighE,melEvlowE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	pachinus,cydEhighW,melEhighW,melElowW,melCvlowW,melChighW	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	heurippa,timElowE,timEhighE	nan	nan	nan	0.24002	0.325051	nan	nan	nan	0	0	0	0	nan	nan
b5	melCvlowE,melEhighE,melChighE,melEvlowE	nan	nan	nan	0	0	nan	nan	nan	0	0	0	0	nan	nan
b6	melEhighW,melElowW,melCvlowW,melChighW	nan	0	0.415698	nan	nan	0.0827593	0.0281384	0.375738	nan	nan	nan	nan	0.407258	0.36848
b7	pachinus,cydEhighW	nan	0	0	nan	nan	0	0	0	nan	nan	nan	nan	0	0
b8	heurippa	nan	nan	0	0.0478745	0.0650486	nan	nan	0	0	0	0	0	0	0
b9	timElowE,timEhighE	nan	nan	0.0817521	0	0	nan	nan	0.137093	0	0.0149514	0.0169612	0.0146417	0.113326	0.105386
b10	melCvlowE	nan	0	nan	0	0	0	0	nan	0	0	0	0	nan	nan
b11	melEhighE,melChighE,melEvlowE	nan	0.0248235	nan	0.0298227	0.0464939	0.0711939	0.0754763	nan	0	0	0	0	nan	nan
b12	melEhighW,melElowW	nan	0.00483519	0	0.0478052	0.0969682	0.00545385	0.00887775	0	nan	nan	nan	nan	0	0
b13	melCvlowW,melChighW	nan	0	0.0741204	0	0	0	0	0.0609544	nan	nan	nan	nan	0.0610497	0.0612462
b14	pachinus	nan	0.0106553	0.00688666	nan	nan	0.0122212	0.0138917	0	0	0	0.0184674	0.013357	0.00979018	0
b15	cydEhighW	nan	0	0	nan	nan	0	0	0	0	0	0	0	0	0
b16	timElowE	nan	0	0.0442427	0	0	nan	nan	0.0385514	0	0	0.00996813	0	0.042602	0.0379814
