branch	branch_descendants	Outgroup	heurippa	melCvlowE	pachinus	cydEhighW	timElowE	timEhighE	melEhighE	melEhighW	melElowW	melCvlowW	melChighW	melChighE	melEvlowE
b2	heurippa,timElowE,timEhighE,melCvlowE,melEhighE,melChighE,melEvlowE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	pachinus,cydEhighW,melEhighW,melElowW,melCvlowW,melChighW	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	heurippa,timElowE,timEhighE	nan	nan	nan	0.24002	0.325051	nan	nan	nan	0	0	0	0	nan	nan
b5	melCvlowE,melEhighE,melChighE,melEvlowE	nan	nan	nan	0	0	nan	nan	nan	0	0	0	0	nan	nan
b6	melEhighW,melElowW,melCvlowW,melChighW	nan	0	0.415698	nan	nan	0.0827593	0	0.375738	nan	nan	nan	nan	0.407258	0.36848
b7	pachinus,cydEhighW	nan	0	0	nan	nan	0	0	0	nan	nan	nan	nan	0	0
b8	heurippa	nan	nan	0	0.0478745	0.0650486	nan	nan	0	0	0	0	0	0	0
b9	timElowE,timEhighE	nan	nan	0.0817521	0	0	nan	nan	0.137093	0	0	0	0	0.113326	0.105386
b10	melCvlowE	nan	0	nan	0	0	0	0	nan	0	0	0	0	nan	nan
b11	melEhighE,melChighE,melEvlowE	nan	0.0248235	nan	0.0298227	0.0464939	0.0711939	0.0754763	nan	0	0	0	0	nan	nan
b12	melEhighW,melElowW	nan	0	0	0.0478052	0.0969682	0	0	0	nan	nan	nan	nan	0	0
b13	melCvlowW,melChighW	nan	0	0.0741204	0	0	0	0	0.0609544	nan	nan	nan	nan	0.0610497	0.0612462
b14	pachinus	nan	0.0106553	0.00688666	nan	nan	0.0122212	0.0138917	0	0	0	0.0184674	0.013357	0.00979018	0
b15	cydEhighW	nan	0	0	nan	nan	0	0	0	0	0	0	0	0	0
b16	timElowE	nan	0	0.0442427	0	0	nan	nan	0.0385514	0	0	0	0	0.042602	0.0379814
b17	timEhighE	nan	0.0100313	0	0.0295121	0.0456239	nan	nan	0	0	0	0	0	0	0
b18	melEhighE	nan	0.0083399	0	0.0050002	0.0062906	0.0296268	0.0240372	nan	0	0	0	0	nan	nan
b19	melChighE,melEvlowE	nan	0	0	0	0	0	0	nan	0	0.0106227	0	0	nan	nan
b20	melEhighW	nan	0	0	0	0	0	0	0	nan	nan	0	0	0	0
b21	melElowW	nan	0	0	0	0	0	0	0	nan	nan	0	0	0	0
b22	melCvlowW	nan	0	0.0140137	0	0	0	0	0	0	0	nan	nan	0	0
b23	melChighW	nan	0.00583489	0	0.00993799	0.0160856	0.0114303	0.0130235	0	0	0	nan	nan	0	0
b24	melChighE	nan	0.023373	0	0.0191169	0.0198253	0.0306396	0.0362488	0	0	0	0	0	nan	nan
b25	melEvlowE	nan	0	0.178776	0	0	0	0	0.264497	0	0	0	0	nan	nan
