P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
melChighE	heurippa	cydEhighW	0.217631	15.4912	nan	0.377736	80909.4	72506.5	46587.9
cydEhighW	melChighW	heurippa	0.0130021	1.21769	0.111671	0.0136935	60386.3	67328.1	65599.8
melCvlowE	heurippa	cydEhighW	0.250437	19.0393	nan	0.417123	78746.3	76385.2	45788.4
cydEhighW	melCvlowW	heurippa	0.00762788	0.67424	0.250079	0.00809078	60307.8	67346.7	66327.1
melEhighE	heurippa	cydEhighW	0.221024	15.7774	nan	0.384711	77439.6	70204.1	44788
cydEhighW	melEhighW	heurippa	0.0176084	1.74404	0.040576	0.0178795	62106.5	65053.9	62802.6
cydEhighW	melElowW	heurippa	0.0187923	1.83736	0.0330785	0.0191274	61937.4	65212.3	62806.6
melEvlowE	heurippa	cydEhighW	0.226063	16.1452	nan	0.395892	74908.9	69669.9	43978.3
cydEhighW	pachinus	heurippa	0.0155019	5.54266	1.4896e-08	0.0106553	66852.7	42315.6	41023.7
timEhighE	heurippa	cydEhighW	0.0210445	6.31845	1.32098e-10	0.0431821	87732.8	45705.5	43821.5
timElowE	heurippa	cydEhighW	0.044145	10.8626	nan	0.0869152	88483.5	47246.6	43251.6
cydEhighW	melChighW	melChighE	0.228781	19.3083	nan	0.448514	78406.1	90016.4	56496.9
melCvlowE	melChighE	cydEhighW	0.0484953	20.1225	nan	0.0641729	116243	53828.8	48849.4
cydEhighW	melCvlowW	melChighE	0.230766	19.5037	nan	0.454082	77616.5	90451.8	56532.8
melEhighE	melChighE	cydEhighW	0.0041409	1.74938	0.040113	0.00585982	112304	49666.2	49256.6
cydEhighW	melEhighW	melChighE	0.217595	18.0741	nan	0.409947	81758.8	85784.2	55123.4
cydEhighW	melElowW	melChighE	0.219542	17.9147	nan	0.414166	81601.3	86110	55106.9
melEvlowE	melChighE	cydEhighW	0.0142321	6.63479	1.62486e-11	0.0198253	110406	48479.1	47118.6
cydEhighW	pachinus	melChighE	0.00829881	4.26918	9.80946e-06	0.00979018	95175	42510.5	41810.7
melChighE	timEhighE	cydEhighW	0.200639	15.2351	nan	0.345824	88839.1	73543.5	48963.8
melChighE	timElowE	cydEhighW	0.185104	14.4329	nan	0.314123	90829.6	71884.8	49429.1
cydEhighW	melChighW	melCvlowE	0.267234	22.3914	nan	0.462898	79563.7	91227.1	52751.2
melCvlowW	melChighW	cydEhighW	0.00760856	5.11132	1.59961e-07	0.0160856	101059	55492.2	54654.1
cydEhighW	melChighW	melEhighE	0.23074	19.4542	nan	0.415132	75306.5	86107.5	53820.5
melChighW	melEhighW	cydEhighW	0.0420112	14.1963	nan	0.0930192	95173.8	58995.6	54238.5
melChighW	melElowW	cydEhighW	0.0404953	16.9414	nan	0.0895483	95179.5	58909.8	54324.3
