branch	branch_descendants	Outgroup	melCvlowE	heurippa	cydEhighW	pachinus	melCvlowW	melChighW	melEhighW	melElowW	melEvlowE	timEhighE	timElowE	melChighE	melEhighE
b2	melCvlowW,melChighW,melEhighW,melElowW,melCvlowE,melEvlowE,melChighE,melEhighE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	cydEhighW,pachinus,heurippa,timEhighE,timElowE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	melCvlowW,melChighW,melEhighW,melElowW	nan	nan	0	0.324902	0.221112	nan	nan	nan	nan	nan	0	0	nan	nan
b5	melCvlowE,melEvlowE,melChighE,melEhighE	nan	nan	0.0328999	0	0	nan	nan	nan	nan	nan	0.122611	0.135691	nan	nan
b6	heurippa,timEhighE,timElowE	nan	0.45174	nan	nan	nan	0.11002	0.0765109	0	0	0.433106	nan	nan	0.51976	0.478944
b7	cydEhighW,pachinus	nan	0	nan	nan	nan	0	0	0	0	0	nan	nan	0	0
b8	melCvlowW,melChighW	nan	0.0685522	0	0	0	nan	nan	nan	nan	0.056566	0	0	0.0617623	0.058326
b9	melEhighW,melElowW	nan	0	0	0.07593	0.03149	nan	nan	nan	nan	0	0	0	0	0
b10	melEvlowE,melChighE,melEhighE	nan	nan	0.0209281	0.0451687	0.0288423	0	0	0	0	nan	0.0810432	0.0763383	nan	nan
b11	melCvlowE	nan	nan	0	0	0	0	0	0	0	nan	0	0	nan	nan
b12	heurippa	nan	0	nan	0.0470438	0.0324799	0	0	0	0	0	nan	nan	0	0
b13	timEhighE,timElowE	nan	0.0980476	nan	0	0	0.0245952	0.0217207	0.0199442	0.0195169	0.125466	nan	nan	0.136519	0.158265
b14	cydEhighW	nan	0	0	nan	nan	0	0	0	0	0	0	0	0	0
b15	pachinus	nan	0	0.00707095	nan	nan	0.0151426	0.00985039	0	0	0	0	0	0	0
b16	melCvlowW	nan	0.0157634	0	0	0	nan	nan	0	0	0.00971859	0	0	0.0157155	0.00960819
b17	melChighW	nan	0	0	0.0129679	0.00703159	nan	nan	0.0229217	0.0197383	0	0.00754162	0.00779108	0	0
b18	melEhighW	nan	0	0	0	0	0	0	nan	nan	0	0	0	0	0
b19	melElowW	nan	0	0	0	0	0	0	nan	nan	0	0	0	0	0
b20	melEvlowE	nan	0.0989846	0	0	0	0.0111444	0.0133253	0.0075528	0.00635375	nan	0	0	nan	nan
b21	melChighE,melEhighE	nan	0	0.0144688	0.00756278	0.00441126	0	0	0	0	nan	0.0347209	0.0286224	nan	nan
b22	timEhighE	nan	0	0	0.0199101	0.0138318	0	0	0	0	0	nan	nan	0	0
b23	timElowE	nan	0.0375864	0	0	0	0.0153574	0.0105967	0.00957369	0	0.0322535	nan	nan	0.0351496	0.0316581
b24	melChighE	nan	0	0.00687309	0	0	0	0	0	0	0	0	0	nan	nan
b25	melEhighE	nan	0.0572376	0	0	0	0	0	0	0	0.124676	0	0.013788	nan	nan

# Zscores:
branch	branch_descendants	Outgroup	melCvlowE	heurippa	cydEhighW	pachinus	melCvlowW	melChighW	melEhighW	melElowW	melEvlowE	timEhighE	timElowE	melChighE	melEhighE
b2	melCvlowW,melChighW,melEhighW,melElowW,melCvlowE,melEvlowE,melChighE,melEhighE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	cydEhighW,pachinus,heurippa,timEhighE,timElowE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	melCvlowW,melChighW,melEhighW,melElowW	nan	nan	0	37.0669	37.7957	nan	nan	nan	nan	nan	0	0	nan	nan
b5	melCvlowE,melEvlowE,melChighE,melEhighE	nan	nan	4.18252	0	0	nan	nan	nan	nan	nan	7.83674	9.86748	nan	nan
b6	heurippa,timEhighE,timElowE	nan	64.487	nan	nan	nan	6.50767	6.11851	1.37785	1.58686	68.5169	nan	nan	66.9839	59.017
b7	cydEhighW,pachinus	nan	0	nan	nan	nan	0	0	0	0	0	nan	nan	0	0
b8	melCvlowW,melChighW	nan	17.5753	1.10635	0	0	nan	nan	nan	nan	16.1766	1.39411	2.23299	14.1911	14.8732
b9	melEhighW,melElowW	nan	0	0	14.8363	10.5189	nan	nan	nan	nan	0	0	0	0	0
b10	melEvlowE,melChighE,melEhighE	nan	nan	8.51338	19.7886	18.6559	0	0	0.896723	1.03859	nan	14.6179	13.9461	nan	nan
b11	melCvlowE	nan	nan	0	0	0	0.0934235	0	0	0	nan	0	0	nan	nan
b12	heurippa	nan	0	nan	5.33169	6.46084	0	0	0	0	0	nan	nan	0	0
b13	timEhighE,timElowE	nan	10.8707	nan	0	0	3.2811	3.69535	2.6837	3.46349	16.5745	nan	nan	10.8038	14.4015
b14	cydEhighW	nan	0	0	nan	nan	0	0	1.70303	1.63101	0.162595	0	0	0	0.280782
b15	pachinus	nan	0.913807	4.35393	nan	nan	3.95474	2.73787	0	0	0	2.21218	1.7775	2.24669	0
b16	melCvlowW	nan	4.71686	0	0	0	nan	nan	0	0	3.24355	0	0	4.26763	2.85375
b17	melChighW	nan	0	1.60906	3.35876	3.09862	nan	nan	2.71199	3.56531	0	2.48072	2.79427	0	0
b18	melEhighW	nan	0	0.367409	1.74346	1.57656	0.614172	0	nan	nan	0	0	0.178747	0	0
b19	melElowW	nan	0.615696	0	0	0	0	0.0534055	nan	nan	0.648715	0.5045	0	1.32207	1.09014
b20	melEvlowE	nan	6.59021	0	0	0	3.85434	4.17664	3.2349	2.95995	nan	0	0	nan	nan
b21	melChighE,melEhighE	nan	0	6.24952	3.66961	2.35557	0	0	0	0	nan	7.1596	8.5925	nan	nan
b22	timEhighE	nan	0	0	4.15078	4.91338	0	0	0	0	0	nan	nan	0	0
b23	timElowE	nan	7.07194	0.153555	0	0	3.65382	3.62488	2.63671	2.12992	4.80073	nan	nan	4.47884	4.53083
b24	melChighE	nan	0	2.64748	0	1.63109	2.2096	1.30772	2.182	2.3218	0	0	0	nan	nan
b25	melEhighE	nan	4.62858	0	0.138535	0	0	0	0	0	10.7974	1.79115	2.8247	nan	nan
