"id","type.joana"
"CAM002836","eratoEvlowE"
"CAM002846","clysonymusHW"
"CAM002847","clysonymusHW"
"CAM040369","clysonymusHW"
"CAM040909","clysonymusHW"
"CAM040908","clysonymusHW"
"CAM040323","clysonymusHW"
"CAM040223","clysonymusHE"
"ERR1307123","clysonymusHE"
"SRR4032078","clysonymusHE"
"SRR4032079","clysonymusHE"
"CAM040247","clysonymusHE"
"CAM040271","clysonymusHE"
"CAM040270","clysonymusHE"
"CAM040274","clysonymusHE"
"CAM040299","clysonymusHE"
"CAM040300","clysonymusHE"
"CAM040301","clysonymusHE"
"CAM040710","clysonymusHE"
"CAM040709","clysonymusHE"
"SRR4032054","hortenseElSalvador"
"CAM040276","telesiphEhighE"
"CAM040320","telesiphEhighE"
"CAM041109","telesiphEhighE"
"CAM040736","telesiphEhighE"
"SRR4032081","telesiphEhighE"
"CAM041045","telesiphEhighE"
"CAM041105","telesiphEhighE"
"CAM041106","telesiphEhighE"
"CAM041108","telesiphEhighE"
"CAM041110","telesiphEhighE"
"CAM041107","telesiphEhighE"
"SRR8883900","telesiphePeru"
"CAM040566","eleuchiaHW"
"CAM040609","eleuchiaHW"
"CAM040610","eleuchiaHW"
"CAM040611","eleuchiaHW"
"CAM040612","eleuchiaHW"
"CAM040613","eleuchiaHW"
"CAM040616","eleuchiaHW"
"CAM040614","eleuchiaHW"
"CAM040615","eleuchiaHW"
"CAM040756","eleuchiaHW"
"SRR3102171","eleuchia"
"SRR3102172","congener"
"SRR4032098","sara"
"SRR4032099","sara"
"SRR8883893","demeter"
"SRR4032011","ricini"
"SRR4032025","charithonia"
"SRR4032026","charithonia"
"SRR4032035","hermathena"
"SRR4032036","hermathena"
"SRR4032037","hermathena"
"CAM040321","eratoEhighW"
"CAM040404","eratoEhighW"
"CAM040365","eratoEhighW"
"CAM040413","eratoEhighW"
"CAM040545","eratoEhighW"
"CAM040584","eratoEhighW"
"CAM040578","eratoEhighW"
"CAM040835","eratoEvlowW"
"CAM040594","eratoEhighW"
"CAM040952","eratoEhighW"
"CAM040834","eratoEvlowW"
"CAM040854","eratoEvlowW"
"CAM040850","eratoEvlowW"
"CAM040852","eratoEvlowW"
"CAM040853","eratoEvlowW"
"CAM040861","eratoEvlowW"
"CAM040842","eratoEvlowW"
"CAM040860","eratoEvlowW"
"CAM040361","eratoEhighW"
"SRR4032038","himeraHE"
"SRR4032039","himeraHE"
"SRR4032040","himeraHE"
"SRR4032041","himeraHE"
"SRR6313531","himeraLE"
"SRR6313542","himeraLE"
"SRR6313532","himeraLE"
"SRR6313541","himeraLE"
"CAM040236","eratoEhighE"
"CAM040239","eratoEhighE"
"CAM040241","eratoEhighE"
"CAM041044","eratoEhighE"
"CAM040705","eratoEhighE"
"CAM040706","eratoEhighE"
"CAM040227","eratoEhighE"
"CAM040232","eratoEhighE"
"SRR4032005","eratoNHE"
"SRR4032013","eratoNHE"
"SRR4032012","eratoNHE"
"SRR4032097","eratoNHE"
"SRR4032042","eratoNHE"
"SRR4032090","eratoNHE"
"SRR4032089","eratoNHE"
"SRR4032091","eratoNHE"
"SRR4032092","eratoNHE"
"CAM011441","eratoEhighE"
"CAM040701","eratoEhighE.1"
"CAM040437","eratoEvlowE"
"CAM040702","eratoEhighE.1"
"CAM040436","eratoEvlowE"
"CAM120589","eratoEvlowE"
"SHM000340","eratoEvlowE"
"SHM000341","eratoEvlowE"
"CAM040434","eratoEvlowE"
"CAM040435","eratoEvlowE"
"CAM040438","eratoEvlowE"
