id.joana,cam.id,type,species,pop.me,accession,altitude,alt.type,side,type.gmk,mean.depth.wg.withzeros,seq.round,subsp,in.tree,in.tree.supp,in.main.tree
CAM040223,CAM040223,clyEhighE,clysonymus,,,,high,east,,,,,yes,yes,yes
CAM040247,CAM040247,clyEhighE,clysonymus,,,,high,east,,,,,yes,yes,
CAM040270,CAM040270,clyEhighE,clysonymus,,,,high,east,,,,,yes,yes,
CAM040271,CAM040271,clyEhighE,clysonymus,,,,high,east,,,,,yes,yes,
CAM040274,CAM040274,clyEhighE,clysonymus,,,,high,east,,,,,yes,yes,
CAM040299,CAM040299,clyEhighE,clysonymus,,,,high,east,,,,,yes,yes,
CAM040300,CAM040300,clyEhighE,clysonymus,,,,high,east,,,,,yes,yes,
CAM040301,CAM040301,clyEhighE,clysonymus,,,,high,east,,,,,yes,yes,
CAM040709,CAM040709,clyEhighE,clysonymus,,,,high,east,,,,,yes,yes,
CAM040710,CAM040710,clyEhighE,clysonymus,,,,high,east,,,,,yes,yes,
ERR1307123,,clyEhighE,clysonymus,,,,high,east,,,,,yes,yes,
SRR4032078,,clyEhighE,clysonymus,,,,high,east,,,,,yes,yes,
SRR4032079,,clyEhighE,clysonymus,,,,high,east,,,,,yes,yes,
CAM002846,CAM002846,clyEhighW,clysonymus,,,,high,west,,,,,yes,yes,
CAM002847,CAM002847,clyEhighW,clysonymus,,,,high,west,,,,,yes,yes,
CAM040323,CAM040323,clyEhighW,clysonymus,,,,high,west,,,,,yes,yes,
CAM040369,CAM040369,clyEhighW,clysonymus,,,,high,west,,,,,yes,yes,
CAM040908,CAM040908,clyEhighW,clysonymus,,,,high,west,,,,,yes,yes,
CAM040909,CAM040909,clyEhighW,clysonymus,,,,high,west,,,,,yes,yes,
SRR3102171,,ele,eleuchia,,,,high,west,,,,,yes,best.no,
CAM040566,CAM040566,eleHW,eleuchia,,,,high,west,,,,,yes,yes,
CAM040609,CAM040609,eleHW,eleuchia,,,,high,west,,,,,yes,yes,
CAM040610,CAM040610,eleHW,eleuchia,,,,high,west,,,,,yes,yes,
CAM040611,CAM040611,eleHW,eleuchia,,,,high,west,,,,,yes,yes,
CAM040612,CAM040612,eleHW,eleuchia,,,,high,west,,,,,yes,yes,
CAM040613,CAM040613,eleHW,eleuchia,,,,high,west,,,,,yes,yes,
CAM040614,CAM040614,eleHW,eleuchia,,,,high,west,,,,,yes,yes,
CAM040615,CAM040615,eleHW,eleuchia,,,,high,west,,,,,yes,yes,
CAM040616,CAM040616,eleHW,eleuchia,,,,high,west,,,,,yes,yes,
CAM040756,CAM040756,eleHW,eleuchia,,,,high,west,,,,,yes,yes,
CAM011441,CAM011441,eraEhighE,erato,era.ec.e.rev,ERS4212693,1312,high,east,EhighE,14.98,Novo.Ec.dec17,lativitta,yes,yes,
CAM040227,CAM040227,eraEhighE,erato,era.ec.e.r,ERS4212695,1120,high,east,EhighE,15.89,Novo.Ec.dec17,lativitta,yes,yes,
CAM040232,CAM040232,eraEhighE,erato,era.ec.e.r,ERS4212696,1120,high,east,EhighE,16.83,Novo.Ec.dec17,lativitta,yes,yes,yes
CAM040236,CAM040236,eraEhighE,erato,era.ec.e.r,ERS4201864,1210,high,east,EhighE,5.33,BGI.round.2.17,lativitta,yes,yes,
CAM040239,CAM040239,eraEhighE,erato,era.ec.e.r,ERS4201865,1150,high,east,EhighE,4.67,BGI.round.2.17,lativitta,yes,yes,
CAM040241,CAM040241,eraEhighE,erato,era.ec.e.r,ERS4201866,1150,high,east,EhighE,4.3,BGI.round.2.17,lativitta,yes,yes,
CAM040705,CAM040705,eraEhighE,erato,era.ec.e.rev,ERS4201869,1312,high,east,EhighE,4.47,BGI.round.2.17,lativitta,yes,yes,
CAM040706,CAM040706,eraEhighE,erato,era.ec.e.rev,ERS4201870,1312,high,east,EhighE,7.01,BGI.round.2.17,lativitta,yes,yes,
CAM041044,CAM041044,eraEhighE,erato,era.ec.e.r,ERS4201890,1167,high,east,EhighE,5.39,BGI.round.2.17,lativitta,yes,yes,
