scaffold	start	end	mid	sites	ML_rho
chr12	1	100000	62020	3779	0.01200000
chr12	100001	200000	142774	5715	0.03400000
chr12	200001	300000	254020	6820	0.06000000
chr12	300001	400000	351329	6722	0.03400000
chr12	400001	500000	450418	6837	0.03400000
chr12	500001	600000	554699	5852	0.04600000
chr12	600001	700000	646368	5886	0.05800000
chr12	700001	800000	750801	7284	0.11100000
chr12	800001	900000	838996	5165	0.11000000
chr12	900001	1000000	957103	4385	0.08400000
chr12	1000001	1100000	1048960	5593	0.08600000
chr12	1100001	1200000	1150290	5976	0.10100000
chr12	1200001	1300000	1249056	7136	0.10100000
chr12	1300001	1400000	1348967	4972	0.12500000
chr12	1400001	1500000	1448272	5473	0.08600000
chr12	1500001	1600000	1553203	5610	0.02400000
chr12	1600001	1700000	1651038	6883	0.15100000
chr12	1700001	1800000	1748461	5720	0.08200000
chr12	1800001	1900000	1847791	5815	0.10100000
chr12	1900001	2000000	1944139	5471	0.10100000
chr12	2000001	2100000	2050620	5621	0.11700000
chr12	2100001	2200000	2146660	5763	0.10100000
chr12	2200001	2300000	2250051	6059	0.15100000
chr12	2300001	2400000	2350002	5256	0.07600000
chr12	2400001	2500000	2450297	4573	0.15100000
chr12	2500001	2600000	2547723	4999	0.10100000
chr12	2600001	2700000	2648493	5207	0.05800000
chr12	2700001	2800000	2750388	5168	0.04000000
chr12	2800001	2900000	2849777	4982	0.11000000
chr12	2900001	3000000	2949263	5094	0.17800000
chr12	3000001	3100000	3052137	6051	0.08900000
chr12	3100001	3200000	3151525	6047	0.07000000
chr12	3200001	3300000	3249074	5138	0.03400000
chr12	3300001	3400000	3349681	4177	0.05100000
chr12	3400001	3500000	3449580	5762	0.12000000
chr12	3500001	3600000	3550537	5810	0.10000000
chr12	3600001	3700000	3654701	4951	0.07200000
chr12	3700001	3800000	3744387	5164	0.06000000
chr12	3800001	3900000	3849925	5829	0.06100000
chr12	3900001	4000000	3947924	4777	0.05200000
chr12	4000001	4100000	4054074	5153	0.11100000
chr12	4100001	4200000	4152466	5206	0.12500000
chr12	4200001	4300000	4247001	5421	0.05000000
chr12	4300001	4400000	4353028	5605	0.03700000
chr12	4400001	4500000	4452590	4691	0.03400000
chr12	4500001	4600000	4547850	5002	0.04100000
chr12	4600001	4700000	4647132	4781	0.05100000
chr12	4700001	4800000	4754532	3307	0.03500000
chr12	4800001	4900000	4850789	5733	0.10100000
