CHROM	bp	cM
chr1	0	0.000
chr1	503436	0.000
chr1	531630	0.299
chr1	532206	0.299
chr1	636858	0.597
chr1	637275	0.597
chr1	673840	0.712
chr1	688521	1.057
chr1	731997	1.194
chr1	968143	1.194
chr1	995431	2.090
chr1	1651328	2.090
chr1	1676361	2.388
chr1	1782039	2.388
chr1	1816451	2.687
chr1	2047669	2.687
chr1	2093839	2.985
chr1	2181899	2.985
chr1	2300013	3.284
chr1	2401993	3.284
chr1	2452554	3.581
chr1	2452726	3.583
chr1	2529837	3.786
chr1	2547367	4.130
chr1	2565942	4.179
chr1	2692509	4.179
chr1	2741575	4.478
chr1	2741633	4.478
chr1	2778811	4.776
chr1	2819802	4.776
chr1	2819991	5.075
chr1	2862790	5.075
chr1	2933622	5.228
chr1	3000541	5.672
chr1	3000564	5.672
chr1	3102340	5.672
chr1	3108338	5.724
chr1	3124487	6.463
chr1	3124895	6.466
chr1	3168511	7.147
chr1	3170462	7.164
chr1	3215258	7.164
chr1	3239314	7.463
chr1	3239654	7.463
chr1	3240200	7.473
chr1	3255450	7.877
chr1	3255511	7.877
chr1	3255624	7.879
chr1	3318991	9.035
chr1	3322388	9.055
chr1	3355749	9.371
chr1	3407084	9.552
chr1	3412514	9.552
chr1	3466666	9.851
chr1	3484850	9.851
chr1	3530224	10.149
chr1	3647735	10.149
chr1	3726188	10.448
chr1	3805646	10.448
chr1	3805744	10.449
chr1	3831562	10.956
chr1	3842472	11.045
chr1	3842880	11.045
chr1	3893052	11.343
chr1	4040662	11.343
chr1	4139143	11.642
chr1	4219906	11.642
chr1	4233145	12.239
chr1	4267005	12.239
chr1	4323018	12.537
chr1	4323138	12.537
chr1	4339261	12.685
chr1	4385551	13.409
chr1	4388186	13.433
chr1	4388218	13.433
chr1	4412086	13.520
chr1	4432363	13.892
chr1	4432760	13.894
chr1	4470110	14.200
chr1	4470329	14.201
chr1	4470377	14.201
chr1	4498420	14.515
chr1	4535527	14.761
chr1	4536373	14.762
chr1	4579990	15.747
chr1	4616084	15.821
chr1	4616814	15.821
chr1	4649111	16.120
chr1	4672415	16.120
chr1	4776629	16.418
chr1	4826508	16.418
chr1	4982446	16.717
chr1	5108595	16.717
chr1	5160761	17.911
chr1	5187775	17.911
chr1	5219216	18.209
chr1	5308152	18.209
chr1	5397201	18.508
chr1	5473988	18.508
chr1	5541695	18.612
chr1	5559806	18.938
chr1	5592405	18.988
chr1	5656707	19.385
chr1	5668517	19.403
chr1	5685113	19.403
chr1	5702395	19.702
chr1	5777677	19.702
chr1	5801654	20.097
chr1	5813811	20.596
chr1	5813881	20.597
chr1	5950389	20.597
chr1	5950523	20.601
chr1	5973701	21.489
chr1	5973850	21.493
chr1	5978089	21.493
chr1	6018518	21.791
chr1	6018615	21.796
chr1	6025079	22.090
chr1	6027243	22.090
chr1	6082453	22.687
chr1	6224227	22.687
chr1	6257132	22.859
chr1	6257326	23.159
chr1	6277740	23.265
chr1	6281282	23.362
chr1	6287419	23.498
chr1	6317559	24.464
chr1	6318152	24.477
chr1	6318235	24.478
chr1	6352130	24.478
chr1	6438892	24.777
chr1	6485005	24.777
chr1	6490479	24.919
chr1	6519480	25.837
chr1	6543005	25.971
chr1	6556016	25.971
chr1	6702230	26.208
chr1	6722509	26.559
chr1	6740199	27.162
chr1	6740231	27.163
chr1	6740308	27.165
chr1	6789935	27.165
chr1	6844996	27.463
chr1	6907982	27.463
chr1	6916393	27.570
chr1	6931596	27.922
chr1	6973091	28.359
chr1	7007540	28.359
chr1	7085845	28.657
chr1	7109629	28.657
chr1	7109893	28.660
chr1	7137011	29.550
chr1	7137257	29.553
chr1	7216877	29.851
chr1	7217581	29.851
chr1	7225695	30.448
chr1	7321476	30.448
chr1	7353118	30.747
chr1	7353271	30.747
chr1	7353492	30.750
chr1	7372255	31.293
chr1	7376137	31.344
chr1	7554820	31.344
chr1	7571576	31.642
chr1	7578818	31.642
chr1	7606163	31.941
chr1	7609498	31.941
chr1	7619740	31.967
chr1	7726096	32.524
chr1	7731233	32.538
chr1	7832550	32.538
chr1	7832811	32.541
chr1	7872676	33.254
chr1	7918606	33.732
chr1	7936648	33.732
chr1	8055479	34.138
chr1	8111298	34.694
chr1	8146692	34.926
chr1	8708807	34.926
chr1	8781365	35.225
chr1	8909454	35.225
chr1	8955020	35.523
chr1	8983648	35.523
chr1	9063866	35.666
chr1	9123330	36.071
chr1	9150619	36.120
chr1	9264126	36.120
chr1	9292930	36.419
chr1	9489177	36.419
chr1	9504911	36.717
chr1	9520399	36.717
chr1	9531222	37.314
chr1	9677204	37.314
chr1	9748032	37.613
chr1	9931462	37.613
chr1	9948662	37.911
chr1	9958718	37.911
chr1	10003607	38.210
chr1	10174669	38.210
chr1	10190327	38.508
chr1	10324319	38.508
chr1	10343403	38.807
chr1	10539134	38.807
chr1	10594983	39.156
chr1	10634402	39.701
chr1	10634611	39.702
chr1	10723471	39.702
chr1	10742761	39.833
chr1	10767348	40.288
chr1	10793792	40.598
chr1	10796354	40.598
chr1	10826256	40.896
chr1	10843285	40.896
chr1	10943960	41.195
chr1	10953018	41.195
chr1	11043111	41.792
chr1	11081843	41.792
chr1	11082025	41.793
chr1	11119394	42.359
chr1	11123508	42.389
chr1	11394082	42.389
chr1	11410901	42.687
chr1	11443829	42.687
chr1	11534118	43.413
chr1	11592288	44.180
chr1	11592295	44.180
chr1	12209884	44.180
chr1	12251627	44.223
chr1	12316468	44.810
chr1	12338715	44.909
chr1	12501055	45.075
chr1	12921528	45.075
chr1	13009126	45.374
chr1	13108713	45.374
chr1	13177540	46.106
chr1	13192863	46.528
chr1	13195249	46.568
chr1	13195825	46.568
chr1	13365973	47.165
chr1	13788914	47.165
chr1	13917986	47.463
chr1	13960263	47.463
chr1	13966325	47.762
chr1	14031035	47.762
chr1	14073127	48.060
chr1	14314400	48.060
chr1	14354019	48.359
chr1	14354478	48.359
chr1	14378214	48.657
chr1	14389694	48.657
chr1	14468738	48.956
chr1	14474937	48.956
chr1	14502779	49.254
chr1	14530196	49.254
chr1	14577594	49.553
chr1	14717204	49.553
chr1	14749455	49.852
chr1	14749665	49.852
chr1	14870607	50.150
chr1	14918175	50.150
chr1	14990603	50.449
chr1	15090716	50.449
chr1	15102959	50.747
chr1	15112660	50.747
chr1	15134414	50.956
chr1	15143783	51.109
chr1	15178682	51.344
chr1	15187953	51.344
chr1	15227018	51.643
chr1	15246876	51.643
chr1	15289120	51.941
chr1	15562861	51.941
chr1	15574469	52.240
chr1	15574623	52.240
chr1	15609547	52.309
chr1	15657182	52.702
chr1	15724962	52.837
chr1	15777636	52.837
chr1	15777932	53.135
chr1	15944887	53.135
chr1	15970828	53.434
chr1	16121782	53.434
chr1	16160768	54.329
chr1	16678187	54.329
chr1	16685601	54.628
chr1	17206585	54.628
chr2	0	0.000
chr2	52624	0.000
chr2	55615	0.299
chr2	114514	0.299
chr2	116733	0.597
chr2	182390	0.597
chr2	225682	0.896
chr2	242539	0.896
chr2	251425	1.194
chr2	259741	1.194
chr2	386631	1.493
chr2	386912	1.493
chr2	431893	1.791
chr2	431919	1.791
chr2	432142	1.794
chr2	452629	2.164
chr2	452765	2.167
chr2	512122	2.666
chr2	516538	2.687
chr2	565327	2.687
chr2	592848	3.284
chr2	605221	3.284
chr2	608196	3.582
chr2	650693	3.582
chr2	650742	3.583
chr2	683974	4.009
chr2	684451	4.011
chr2	805549	5.371
chr2	805790	5.373
chr2	845069	5.373
chr2	938289	5.672
chr2	958989	5.672
chr2	997734	5.770
chr2	1048694	6.795
chr2	1076579	6.866
chr2	1091074	6.866
chr2	1170255	7.463
chr2	1189685	7.463
chr2	1207620	7.761
chr2	1341523	7.761
chr2	1356998	8.060
chr2	1468640	8.060
chr2	1479098	8.086
chr2	1525720	8.504
chr2	1533742	8.524
chr2	1585586	8.954
chr2	1585882	8.960
chr2	1620909	9.552
chr2	1620980	9.552
chr2	1675588	9.851
chr2	2044051	9.851
chr2	2083556	10.149
chr2	2090100	10.149
chr2	2149254	10.746
chr2	2168976	10.746
chr2	2203724	10.900
chr2	2236317	11.343
chr2	2236574	11.343
chr2	2248682	11.381
chr2	2269640	11.744
chr2	2320229	11.900
chr2	2320405	12.199
chr2	2320502	12.200
chr2	2333164	12.381
chr2	2347118	12.537
chr2	2360725	12.537
chr2	2386161	12.836
chr2	2386375	12.836
chr2	2400953	13.134
chr2	2499522	13.134
chr2	2536459	13.246
chr2	2550008	13.586
chr2	2550037	13.586
chr2	2550219	13.590
chr2	2597610	15.223
chr2	2597625	15.223
chr2	2597955	15.224
chr2	2613994	15.335
chr2	2641125	15.636
chr2	2685138	15.821
chr2	3075828	15.821
chr2	3079789	15.849
chr2	3120508	16.428
chr2	3161485	17.309
chr2	3161783	17.313
chr2	3161885	17.314
chr2	3162306	17.314
chr2	3204193	17.612
chr2	3238597	17.612
chr2	3268512	17.911
chr2	3269428	17.911
chr2	3298479	18.209
chr2	3397779	18.209
chr2	3572583	18.508
chr2	3650664	18.508
chr2	3656915	18.806
chr2	3709070	18.806
chr2	3722106	18.949
chr2	3739739	19.442
chr2	3763430	19.702
chr2	4036014	19.702
chr2	4093700	19.866
chr2	4140777	20.299
chr2	4142548	20.299
chr2	4310167	20.597
chr2	4429664	20.597
chr2	4491716	20.896
chr2	4542892	20.896
chr2	4655321	21.194
chr2	4738450	21.194
chr2	4738690	21.195
chr2	4827451	21.762
chr2	4837060	21.791
chr2	4988836	21.791
chr2	5017834	22.090
chr2	5017847	22.090
chr2	5087224	22.687
chr2	5087962	22.687
chr2	5141375	22.985
chr2	5187450	22.985
chr2	5328148	23.284
chr2	5345290	23.284
chr2	5350953	23.306
chr2	5430245	25.102
chr2	5430436	25.108
chr2	5493950	25.949
chr2	5499403	25.970
chr2	5575304	25.970
chr2	5731189	26.269
chr2	5834297	26.269
chr2	5855922	26.567
chr2	5954104	26.567
chr2	5958003	26.866
chr2	5958234	26.866
chr2	6038931	27.164
chr2	6125596	27.164
chr2	6165601	27.712
chr2	6191003	28.358
chr2	6191072	28.359
chr2	6220088	28.359
chr2	6223747	28.657
chr2	6240322	28.657
chr2	6264212	28.808
chr2	6287718	29.007
chr2	6343260	29.427
chr2	6400748	29.553
chr2	6405008	29.553
chr2	6440987	30.150
chr2	6441194	30.150
chr2	6469527	30.257
chr2	6474143	30.573
chr2	6475432	30.578
chr2	6520003	31.166
chr2	6538898	31.344
chr2	6589682	31.344
chr2	6626202	31.642
chr2	6696328	31.642
chr2	6755976	31.941
chr2	6756343	31.941
chr2	6805385	32.275
chr2	6809191	32.440
chr2	6844011	34.253
chr2	6846069	34.329
chr2	6927499	34.329
chr2	6953469	34.589
chr2	6965442	35.007
chr2	6987120	35.224
chr2	6994082	35.224
chr2	7001571	35.268
chr2	7045572	35.821
chr2	7045610	35.821
chr2	7046135	35.821
chr2	7061438	36.022
chr2	7068894	36.414
chr2	7069016	36.418
chr2	7069266	36.418
chr2	7115929	36.717
chr2	7116000	36.717
chr2	7140831	37.327
chr2	7141666	37.338
chr2	7187325	38.195
chr2	7285764	38.807
chr2	7314839	38.807
chr2	7315634	38.810
chr2	7382423	39.656
chr2	7394725	39.702
chr2	7516189	39.702
chr2	7583740	41.006
chr2	7601758	41.195
chr2	7601764	41.195
chr2	7619524	41.250
chr2	7690442	41.768
chr2	7690785	41.769
chr2	7697959	42.388
chr2	7698121	42.389
chr2	7841720	42.389
chr2	7853301	42.687
chr2	7922582	42.687
chr2	7976455	42.843
chr2	7977038	42.848
chr2	7993426	43.278
chr2	8027238	43.548
chr2	8034835	43.644
chr2	8092511	44.075
chr2	8095375	44.083
chr2	8128732	44.478
chr2	8129160	44.484
chr2	8151943	45.075
chr2	8200410	45.075
chr2	8204819	45.374
chr2	8254243	45.374
chr2	8274871	45.971
chr2	8275140	45.971
chr2	8275266	45.972
chr2	8313172	46.501
chr2	8324086	46.568
chr2	8351835	46.568
chr2	8352181	46.572
chr2	8413986	47.676
chr2	8420546	47.762
chr2	8420995	47.762
chr2	8482856	48.060
chr2	8519684	48.060
chr2	8563916	49.099
chr2	8583220	49.632
chr2	8637277	49.851
chr2	8637693	49.851
chr2	8752465	50.747
chr2	9045316	50.747
chr3	0	0.000
chr3	270584	0.000
chr3	301352	0.299
chr3	301444	0.299
chr3	416961	0.597
chr3	492599	0.597
chr3	500652	0.699
chr3	500985	0.710
chr3	516091	1.313
chr3	516151	1.314
chr3	576231	1.791
chr3	711617	1.791
chr3	763147	1.961
chr3	801618	2.387
chr3	801830	2.388
chr3	801905	2.389
chr3	802175	2.392
chr3	823086	2.900
chr3	831583	2.985
chr3	895016	2.985
chr3	939299	3.284
chr3	965833	3.284
chr3	965845	3.285
chr3	970699	4.069
chr3	973552	4.179
chr3	1002332	4.179
chr3	1071150	4.776
chr3	1125994	4.776
chr3	1175883	5.373
chr3	1196469	5.373
chr3	1263880	5.598
chr3	1273614	5.929
chr3	1286045	5.970
chr3	1334190	5.970
chr3	1368673	6.866
chr3	1371161	6.866
chr3	1450873	8.358
chr3	1458999	8.358
chr3	1472242	8.657
chr3	1654857	8.657
chr3	1655165	8.658
chr3	1709217	9.064
chr3	1833861	9.314
chr3	1952885	9.799
chr3	1952909	9.799
chr3	1978185	10.146
chr3	1978486	10.149
chr3	1978509	10.150
chr3	2014737	10.735
chr3	2016229	10.747
chr3	2191258	10.747
chr3	2257884	11.045
chr3	2335391	11.045
chr3	2361658	11.344
chr3	2429139	11.344
chr3	2429780	11.941
chr3	2502072	11.941
chr3	2504742	11.950
chr3	2597160	13.043
chr3	2647059	13.932
chr3	2647076	13.932
chr3	2675506	14.030
chr3	2702562	14.030
chr3	2733558	14.329
chr3	2733598	14.329
chr3	2771714	14.469
chr3	2814780	14.868
chr3	2825186	14.926
chr3	2906543	14.926
chr3	2906777	14.927
