shdr.para.west.id,scaff,bp.min,bp.max,region.size,BP.wg.min,BP.wg.max
shdr.west.001,Hmel201001o,244000,260000,16000,244000,260000
shdr.west.002,Hmel201001o,9428000,9468000,40000,9428000,9468000
shdr.west.003,Hmel201001o,16217000,16324000,107000,16217000,16324000
shdr.west.004,Hmel202001o,1386000,1516000,130000,18592585,18722585
shdr.west.005,Hmel202001o,6255000,6349000,94000,23461585,23555585
shdr.west.006,Hmel202001o,7048000,7064000,16000,24254585,24270585
shdr.west.007,Hmel202001o,7931000,7968000,37000,25137585,25174585
shdr.west.008,Hmel203003o,799000,936000,137000,27105291,27242291
shdr.west.009,Hmel203003o,7693000,7728000,35000,33999291,34034291
shdr.west.010,Hmel203003o,9481000,9494000,13000,35787291,35800291
shdr.west.011,Hmel203003o,10032000,10168000,136000,36338291,36474291
shdr.west.012,Hmel204001o,2803000,2861000,58000,39596229,39654229
shdr.west.013,Hmel204001o,3143000,3209000,66000,39936229,40002229
shdr.west.014,Hmel205001o,248000,416000,168000,46703127,46871127
shdr.west.015,Hmel205001o,553000,597000,44000,47008127,47052127
shdr.west.016,Hmel206001o,967000,1113000,146000,57330713,57476713
shdr.west.017,Hmel206001o,6293000,6417000,124000,62656713,62780713
shdr.west.018,Hmel206001o,7034000,7105000,71000,63397713,63468713
shdr.west.019,Hmel207001o,350000,424000,74000,70767888,70841888
shdr.west.020,Hmel207001o,838000,883000,45000,71255888,71300888
shdr.west.021,Hmel207001o,3594000,3638000,44000,74011888,74055888
shdr.west.022,Hmel207001o,12075000,12139000,64000,82492888,82556888
shdr.west.023,Hmel208001o,1921000,1933000,12000,86647747,86659747
shdr.west.024,Hmel208001o,7003000,7074000,71000,91729747,91800747
shdr.west.025,Hmel208001o,8495000,8564000,69000,93221747,93290747
shdr.west.026,Hmel208001o,8722000,8804000,82000,93448747,93530747
shdr.west.027,Hmel209001o,369000,489000,120000,94416196,94536196
shdr.west.028,Hmel209001o,7227000,7311000,84000,101274196,101358196
shdr.west.029,Hmel210001o,891000,1108000,217000,103646943,103863943
shdr.west.030,Hmel210001o,9073000,9137000,64000,111828943,111892943
shdr.west.031,Hmel210001o,9563000,9657000,94000,112318943,112412943
shdr.west.032,Hmel210001o,11897000,11912000,15000,114652943,114667943
shdr.west.033,Hmel211001o,1066000,1125000,59000,121787424,121846424
shdr.west.034,Hmel211001o,1834000,1994000,160000,122555424,122715424
shdr.west.035,Hmel211001o,2839000,2923000,84000,123560424,123644424
shdr.west.036,Hmel211001o,7358000,7446000,88000,128079424,128167424
shdr.west.037,Hmel212001o,97000,237000,140000,132577696,132717696
shdr.west.038,Hmel212001o,2126000,2179000,53000,134606696,134659696
shdr.west.039,Hmel212001o,3962000,3999000,37000,136442696,136479696
shdr.west.040,Hmel212001o,4290000,4422000,132000,136770696,136902696
shdr.west.041,Hmel212001o,6971000,6999000,28000,139451696,139479696
shdr.west.042,Hmel212001o,8041000,8065000,24000,140521696,140545696
shdr.west.043,Hmel212001o,11572000,11687000,115000,144052696,144167696
shdr.west.044,Hmel212001o,13365000,13449000,84000,145845696,145929696
shdr.west.045,Hmel212001o,14342000,14454000,112000,146822696,146934696
shdr.west.046,Hmel212001o,15601000,15676000,75000,148081696,148156696
shdr.west.047,Hmel212001o,15919000,16073000,154000,148399696,148553696
shdr.west.048,Hmel213001o,2112000,2152000,40000,150919994,150959994
shdr.west.049,Hmel213001o,7668000,7708000,40000,156475994,156515994
shdr.west.050,Hmel213001o,7808000,7903000,95000,156615994,156710994
shdr.west.051,Hmel213001o,9835000,10018000,183000,158642994,158825994
shdr.west.052,Hmel213001o,10576000,10738000,162000,159383994,159545994
shdr.west.053,Hmel213001o,12297000,12387000,90000,161104994,161194994
shdr.west.054,Hmel213001o,12597000,12637000,40000,161404994,161444994
shdr.west.055,Hmel214004o,819000,971000,152000,168029068,168181068
shdr.west.056,Hmel215003o,2976000,3031000,55000,179152759,179207759
shdr.west.057,Hmel215003o,3204000,3284000,80000,179380759,179460759
shdr.west.058,Hmel215003o,6115000,6136000,21000,182291759,182312759
shdr.west.059,Hmel215003o,6333000,6364000,31000,182509759,182540759
shdr.west.060,Hmel215003o,8920000,9155000,235000,185096759,185331759
shdr.west.061,Hmel216002o,505000,534000,29000,186895993,186924993
shdr.west.062,Hmel216002o,1477000,1494000,17000,187867993,187884993
shdr.west.063,Hmel216002o,6304000,6351000,47000,192694993,192741993
shdr.west.064,Hmel217001o,1583000,1598000,15000,198010878,198025878
shdr.west.065,Hmel217001o,4212000,4278000,66000,200639878,200705878
shdr.west.066,Hmel217001o,5327000,5369000,42000,201754878,201796878
shdr.west.067,Hmel217001o,6816000,6907000,91000,203243878,203334878
shdr.west.068,Hmel217001o,9758000,10086000,328000,206185878,206513878
shdr.west.069,Hmel217001o,11652000,11671000,19000,208079878,208098878
shdr.west.070,Hmel217001o,13749000,13809000,60000,210176878,210236878
shdr.west.071,Hmel217001o,14089000,14134000,45000,210516878,210561878
shdr.west.072,Hmel218003o,836000,880000,44000,212390151,212434151
shdr.west.073,Hmel218003o,4318000,4391000,73000,215872151,215945151
shdr.west.074,Hmel218003o,10442000,10502000,60000,221996151,222056151
shdr.west.075,Hmel218003o,15297000,15399000,102000,226851151,226953151
shdr.west.076,Hmel219001o,3216000,3236000,20000,231220867,231240867
shdr.west.077,Hmel219001o,11276000,11395000,119000,239280867,239399867
shdr.west.078,Hmel219001o,11634000,11710000,76000,239638867,239714867
shdr.west.079,Hmel219001o,12211000,12239000,28000,240215867,240243867
shdr.west.080,Hmel219001o,12358000,12711000,353000,240362867,240715867
shdr.west.081,Hmel219001o,15700000,15865000,165000,243704867,243869867
shdr.west.082,Hmel220003o,24000,160000,136000,244701181,244837181
shdr.west.083,Hmel220003o,398000,406000,8000,245075181,245083181
shdr.west.084,Hmel220003o,2744000,2761000,17000,247421181,247438181
shdr.west.085,Hmel220003o,4666000,4917000,251000,249343181,249594181
shdr.west.086,Hmel220003o,5224000,5483000,259000,249901181,250160181
shdr.west.087,Hmel220003o,5652000,5736000,84000,250329181,250413181
shdr.west.088,Hmel220003o,5963000,6108000,145000,250640181,250785181
shdr.west.089,Hmel220003o,8166000,8206000,40000,252843181,252883181
shdr.west.090,Hmel220003o,8365000,8402000,37000,253042181,253079181
shdr.west.091,Hmel220003o,8930000,8941000,11000,253607181,253618181
shdr.west.092,Hmel220003o,10722000,10805000,83000,255399181,255482181
shdr.west.093,Hmel220003o,11355000,11500000,145000,256032181,256177181
shdr.west.094,Hmel220003o,12662000,12716000,54000,257339181,257393181
shdr.west.095,Hmel220003o,12939000,12977000,38000,257616181,257654181
shdr.west.096,Hmel220003o,13167000,13270000,103000,257844181,257947181
shdr.west.097,Hmel221001o,1889000,1969000,80000,261164506,261244506
shdr.west.098,Hmel221001o,3352000,3510000,158000,262627506,262785506
shdr.west.099,Hmel221001o,7623000,7797000,174000,266898506,267072506
shdr.west.100,Hmel221001o,7903000,7912000,9000,267178506,267187506
shdr.west.101,Hmel221001o,10666000,10718000,52000,269941506,269993506
shdr.west.102,Hmel221001o,11538000,11701000,163000,270813506,270976506
shdr.west.103,Hmel221001o,11805000,11910000,105000,271080506,271185506
shdr.west.104,Hmel221001o,12256000,12344000,88000,271531506,271619506
